Date,Contraria
2015-01-05,100.0
2015-01-06,100.28317687685842
2015-01-07,99.55761442438018
2015-01-08,98.0721109851985
2015-01-09,98.79881885132724
2015-01-12,98.49328059680938
2015-01-13,98.02031876586484
2015-01-14,98.54521306100918
2015-01-15,98.04169997344532
2015-01-16,97.4520563542359
2015-01-19,97.17561890366082
2015-01-20,96.79968643854623
2015-01-21,96.5921709860067
2015-01-22,95.59829161135863
2015-01-23,95.18853889222171
2015-01-26,94.69851818039403
2015-01-27,95.62985076025713
2015-01-28,95.7751176684953
2015-01-29,95.09336782844085
2015-01-30,95.9848698971193
2015-02-02,95.77681578683995
2015-02-03,95.23924130674182
2015-02-04,94.80586251670657
2015-02-05,94.50629940017504
2015-02-06,94.76095233970055
2015-02-09,95.46390506670426
2015-02-10,94.61438736183912
2015-02-11,94.75290357922377
2015-02-12,94.19573623384926
2015-02-13,94.04242065594998
2015-02-16,94.26646690274644
2015-02-17,94.28579753413086
2015-02-18,94.06879851314103
2015-02-19,93.69279957086117
2015-02-20,93.45331182364315
2015-02-23,93.11984330918035
2015-02-24,92.83586520329709
2015-02-25,92.49040345199525
2015-02-26,92.28075265141487
2015-02-27,92.1522157790115
2015-03-02,91.89811447619428
2015-03-03,92.4564447601006
2015-03-04,92.21474167319705
2015-03-05,91.84247249605268
2015-03-06,92.36247620179402
2015-03-09,92.35069400344061
2015-03-10,93.02467603128665
2015-03-11,92.45817204004874
2015-03-12,92.33514254372169
2015-03-13,92.26432471388485
2015-03-16,91.51293101327236
2015-03-17,91.87425606263496
2015-03-18,91.66600272025237
2015-03-19,91.57621095024888
2015-03-20,90.98842578416931
2015-03-23,91.16433429914812
2015-03-24,91.03759926351333
2015-03-25,91.9059739628246
2015-03-26,92.22191157273859
2015-03-27,91.94458322516508
2015-03-30,91.43567789961351
2015-03-31,91.71441061089759
2015-04-01,91.78557055980087
2015-04-02,91.66200841409955
2015-04-06,91.49706153777963
2015-04-07,91.06032611302331
2015-04-08,91.01536628211721
2015-04-09,90.57421976938424
2015-04-10,90.18289409362977
2015-04-13,90.22667289214586
2015-04-14,90.54772521687546
2015-04-15,90.49239745290636
2015-04-16,90.72758335219612
2015-04-17,91.61368812875459
2015-04-20,91.1719649989247
2015-04-21,91.0157268058707
2015-04-22,90.86995326230296
2015-04-23,91.13922508653768
2015-04-24,90.56791827061811
2015-04-27,90.519373075784
2015-04-28,91.03541628126946
2015-04-29,91.97526632160708
2015-04-30,92.29860974739248
2015-05-01,92.02598807335737
2015-05-04,91.63103671366085
2015-05-05,92.6688757523449
2015-05-06,92.82778252037309
2015-05-07,92.67469541352986
2015-05-08,91.42958077554196
2015-05-11,91.77230359333119
2015-05-12,92.08496217795056
2015-05-13,92.1805567927137
2015-05-14,91.43139859917822
2015-05-15,91.50389714081763
2015-05-18,91.19815329871747
2015-05-19,90.55192734175654
2015-05-20,90.44455380927654
2015-05-21,90.40305139354042
2015-05-22,90.71466030770672
2015-05-25,91.04605185366313
2015-05-26,91.47185425616865
2015-05-27,90.66560364320598
2015-05-28,90.71442580689255
2015-05-29,91.47518240906172
2015-06-01,91.31864860989491
2015-06-02,91.5983986928935
2015-06-03,91.7107009703961
2015-06-04,92.29526714504847
2015-06-05,92.77865670299418
2015-06-08,93.26164160140108
2015-06-09,93.5028155717669
2015-06-10,92.59573429981275
2015-06-11,92.21650405005876
2015-06-12,92.79839016691575
2015-06-15,93.48155633180275
2015-06-16,93.09776174118916
2015-06-17,93.31714904205585
2015-06-18,92.7753304066958
2015-06-19,92.8245902742126
2015-06-22,91.657692500722
2015-06-23,91.36324543271128
2015-06-24,91.73282184027808
2015-06-25,91.6439566512237
2015-06-26,91.32702737589483
2015-06-29,92.95578704307412
2015-06-30,93.28386403437187
2015-07-01,92.53753845615054
2015-07-02,92.80240213176953
2015-07-03,93.02548546226204
2015-07-06,93.58953524904095
2015-07-07,93.86589596267092
2015-07-08,93.88323107430233
2015-07-09,92.90575548878525
2015-07-10,91.69294500040864
2015-07-13,90.78520985281324
2015-07-14,90.41999634301762
2015-07-15,90.16882311223205
2015-07-16,89.73513999854984
2015-07-17,89.72496739898611
2015-07-20,89.42135307367425
2015-07-21,89.77488433897891
2015-07-22,89.86806778180437
2015-07-23,89.97930825660536
2015-07-24,90.16008575036837
2015-07-27,90.87782008633667
2015-07-28,90.17700238661439
2015-07-29,89.6999966641459
2015-07-30,89.36534966272897
2015-07-31,89.06075259315642
2015-08-03,88.60918204692503
2015-08-04,88.63917447701029
2015-08-05,88.25234859017573
2015-08-06,88.69360039418126
2015-08-07,88.91716388492893
2015-08-10,88.38024810473843
2015-08-11,89.15888520008247
2015-08-12,90.22640590252988
2015-08-13,89.64146678108267
2015-08-14,89.61160955848631
2015-08-17,89.3807420818775
2015-08-18,89.26505603830054
2015-08-19,89.89442133856527
2015-08-20,91.13346405370821
2015-08-21,92.9584016325083
2015-08-24,95.41535965620747
2015-08-25,94.52784667713415
2015-08-26,93.81472840300766
2015-08-27,92.1005721414109
2015-08-28,92.14094717190333
2015-08-31,92.43134860628531
2015-09-01,93.77018717868148
2015-09-02,93.07828314987204
2015-09-03,92.36964651995604
2015-09-04,93.34762387431465
2015-09-07,93.18555075414996
2015-09-08,92.31532797403166
2015-09-09,92.3370906558966
2015-09-10,92.4130297109781
2015-09-11,92.34378531901773
2015-09-14,92.53511719529035
2015-09-15,91.85424076410825
2015-09-16,91.08025486899061
2015-09-17,90.96679070359787
2015-09-18,91.71746155626808
2015-09-21,91.16273397810737
2015-09-22,92.33910525758778
