Date,ratios
2015-01-05,100.0
2015-01-06,99.40004493932024
2015-01-07,100.79508816618453
2015-01-08,105.20809865265444
2015-01-09,103.15871828857713
2015-01-12,104.155297313859
2015-01-13,105.64085418569087
2015-01-14,104.35383580487378
2015-01-15,105.80914164427317
2015-01-16,107.94584482420078
2015-01-19,108.92070329477042
2015-01-20,109.8029177876437
2015-01-21,110.5567315192425
2015-01-22,113.42391215503831
2015-01-23,114.7931164356368
2015-01-26,116.40066810745897
2015-01-27,113.25427108037788
2015-01-28,112.59916164379983
2015-01-29,113.33573924351157
2015-01-30,111.12417998011607
2015-02-02,111.43068336170549
2015-02-03,113.40023732733559
2015-02-04,113.60861246285432
2015-02-05,113.88085973363197
2015-02-06,113.29807583517238
2015-02-09,110.85061477167052
2015-02-10,113.57557930782484
2015-02-11,113.04891091521483
2015-02-12,114.95038410810803
2015-02-13,115.35739933818735
2015-02-16,114.58286280944097
2015-02-17,114.56105299386665
2015-02-18,115.0782747474454
2015-02-19,115.94580784290099
2015-02-20,116.37058867747297
2015-02-23,117.64695176403656
2015-02-24,119.05933506202008
2015-02-25,119.53283796814901
2015-02-26,120.31904369046728
2015-02-27,120.58664924207423
2015-03-02,121.0354026584291
2015-03-03,118.85964484981159
2015-03-04,119.40654534646178
2015-03-05,120.79001080450271
2015-03-06,119.15029034326254
2015-03-09,119.08192138003018
2015-03-10,117.02334840127291
2015-03-11,119.20579804711905
2015-03-12,119.34902749725808
2015-03-13,119.712761070683
2015-03-16,122.09500397346578
2015-03-17,120.42781296737792
2015-03-18,121.11442841934442
2015-03-19,121.12674596148497
2015-03-20,123.24408941516612
2015-03-23,122.73718017286723
2015-03-24,123.02220715304846
2015-03-25,120.29874660840653
2015-03-26,119.21777206591922
2015-03-27,120.01697105349301
2015-03-30,121.97304992096491
2015-03-31,120.63812446007445
2015-04-01,120.4485778559605
2015-04-02,121.23027804589454
2015-04-06,121.70405358736818
2015-04-07,123.03988695038252
2015-04-08,122.31952465005392
2015-04-09,124.21826517812845
2015-04-10,125.77906051589673
2015-04-13,125.98916540810728
2015-04-14,125.07390341164295
2015-04-15,125.74488747281472
2015-04-16,124.47931359806263
2015-04-17,121.12431098412081
2015-04-20,122.60528292214958
2015-04-21,123.11788988930724
2015-04-22,123.4421722788003
2015-04-23,122.79141380444001
2015-04-24,123.95404006209051
2015-04-27,125.28415650382057
2015-04-28,123.53858517415071
2015-04-29,119.91352714855503
2015-04-30,119.4926620646235
2015-05-01,120.29534109253734
2015-05-04,121.40290442360809
2015-05-05,117.76844773689263
2015-05-06,117.48469470060097
2015-05-07,117.79928820225061
2015-05-08,121.70311618276399
2015-05-11,120.81364168694012
2015-05-12,119.00746539750043
2015-05-13,118.55087156175188
2015-05-14,120.616462565149
2015-05-15,120.30078863056765
2015-05-18,121.51753992783574
2015-05-19,123.65336484363486
2015-05-20,124.02607916236208
2015-05-21,124.29941806264247
2015-05-22,123.36741632037676
2015-05-25,121.79553966437325
2015-05-26,120.23083838301476
2015-05-27,122.80536904719405
2015-05-28,122.57302672323397
2015-05-29,120.0079211089484
2015-06-01,120.33809308679216
2015-06-02,119.2062359599507
2015-06-03,119.30919115112815
2015-06-04,117.27499003267617
2015-06-05,115.5756710794304
2015-06-08,114.0016039645491
2015-06-09,113.65594995838964
2015-06-10,116.57592437264199
2015-06-11,117.34256946098124
2015-06-12,115.23843228746155
2015-06-15,113.16606914167741
2015-06-16,114.34127208545
2015-06-17,113.64337328813541
2015-06-18,115.33095752728946
2015-06-19,115.22414662508056
2015-06-22,119.29503053579761
2015-06-23,120.40079600599128
2015-06-24,119.18694731595455
2015-06-25,119.41431979508394
2015-06-26,119.93019681983009
2015-06-29,114.3528965976711
2015-06-30,113.01993044106334
2015-07-01,115.30079257013386
2015-07-02,114.46898246482671
2015-07-03,113.75584895981356
2015-07-06,111.53568095580017
2015-07-07,110.04155106652865
2015-07-08,110.06229194634629
2015-07-09,113.01805543392175
2015-07-10,117.01984605088079
2015-07-13,119.58536638896999
2015-07-14,120.60210713335245
2015-07-15,121.82157065175018
2015-07-16,123.64024787843756
2015-07-17,123.42004127571045
2015-07-20,124.18080833407919
2015-07-21,122.77678873779452
2015-07-22,121.97520800159874
2015-07-23,121.37522466653418
2015-07-24,120.16165931553576
2015-07-27,117.64364191110688
2015-07-28,119.97284135476427
2015-07-29,121.11569042510668
2015-07-30,120.95651439972184
2015-07-31,121.60752454196253
2015-08-03,123.09224778734344
2015-08-04,122.49045651083765
2015-08-05,124.18826506060802
2015-08-06,122.78531432372917
2015-08-07,121.90746138969327
2015-08-10,123.96474207472153
2015-08-11,121.12011970177029
2015-08-12,117.91739706341025
2015-08-13,119.14107227534952
2015-08-14,118.871329175715
2015-08-17,119.38063305547395
2015-08-18,119.614724792417
2015-08-19,117.15493339025655
2015-08-20,113.14046514540058
2015-08-21,107.72300284319267
2015-08-24,100.4990760850529
2015-08-25,103.47821468652053
2015-08-26,104.94376591353218
2015-08-27,109.63107790567892
2015-08-28,109.79704572459495
2015-08-31,108.9599630208672
2015-09-01,104.90761253980821
2015-09-02,106.3013205212646
2015-09-03,108.45146105017953
2015-09-04,105.24138083792705
2015-09-07,105.7569978132908
2015-09-08,108.16509132425057
2015-09-09,108.47386529852459
2015-09-10,107.85768193447893
2015-09-11,107.29806561553859
2015-09-14,106.82483930122226
2015-09-15,108.7715409606304
2015-09-16,111.15373023612305
2015-09-17,111.204059982895
2015-09-18,107.93665954335889
2015-09-21,109.18686461897995
2015-09-22,105.22511675324226
2015-09-23,105.20057681253493
2015-09-24,102.83664333121051
2015-09-25,106.28535272615052
2015-09-28,103.39841885277373
2015-09-29,102.77501108832605
2015-09-30,105.77633783039768
2015-10-01,104.6284696373359
2015-10-02,106.17997392191215
2015-10-05,110.92514168423132
2015-10-06,111.29926836874907
2015-10-07,111.68253484464786
2015-10-08,112.2509188240717
2015-10-09,113.3958994397863
2015-10-12,113.01897874578076
2015-10-13,111.90680861467465
2015-10-14,110.92850595756062
2015-10-15,113.40775964082582
2015-10-16,114.45047959657614
2015-10-19,115.1901309967199
2015-10-20,114.8789254155425
2015-10-21,115.19726586881721
2015-10-22,118.26061533957069
2015-10-23,122.08908552719737
2015-10-26,122.0088003968962
2015-10-27,121.0924445459548
2015-10-28,122.66242265119298
2015-10-29,123.02286971947342
2015-10-30,122.79966641937229
2015-11-02,123.9138649789409
2015-11-03,124.05738122478498
2015-11-04,123.46257620160993
2015-11-05,124.02818709084572
2015-11-06,124.51495160049978
2015-11-09,121.87416695696321
2015-11-10,122.50788788268083
2015-11-11,122.88477337642628
2015-11-12,120.04665419455965
2015-11-13,118.32209600487286
2015-11-16,119.69479743949515
2015-11-17,122.59944514798575
2015-11-18,122.61286169018308
2015-11-19,122.73523853066216
2015-11-20,123.32835521223612
2015-11-23,122.98560932135219
2015-11-24,121.53653992324945
2015-11-25,123.61961435910611
2015-11-26,124.74511714466556
2015-11-27,124.75317528820734
2015-11-30,124.89930458595585
2015-12-01,124.66102821944096
2015-12-02,124.10351181410076
2015-12-03,119.10604212389298
2015-12-04,120.16839068209896
2015-12-07,120.93824636665963
2015-12-08,118.54527146322471
2015-12-09,117.09059602022678
2015-12-10,116.67689562156993
2015-12-11,113.62706568157267
2015-12-14,112.53935571319496
2015-12-15,116.63757914305796
2015-12-16,117.61310213287476
2015-12-17,118.50181800966631
2015-12-18,115.24106249335892
2015-12-21,113.54158102727274
2015-12-22,114.3436224280132
2015-12-23,117.60458599657204
2015-12-24,117.31345433108021
2015-12-25,117.31345433108021
2015-12-28,116.5911783230595
2015-12-29,119.35524940555695
2015-12-30,118.35603927092463
2015-12-31,117.18884945516389
2016-01-04,112.24822913846607
2016-01-05,112.9833402499198
2016-01-06,110.94271493934384
2016-01-07,108.1169640454917
2016-01-08,106.28143940559451
2016-01-11,106.06119962112314
2016-01-12,107.56227931945132
2016-01-13,106.1356361518655
2016-01-14,105.27938793876353
2016-01-15,101.29718990078243
2016-01-18,100.96822639104819
2016-01-19,102.84659871759911
2016-01-20,99.66953701420825
2016-01-21,101.696293302471
2016-01-22,105.0316475013084
2016-01-25,104.07414966912123
2016-01-26,105.51530011186986
2016-01-27,105.98949842530241
2016-01-28,104.44622819545428
2016-01-29,108.31182017771599
2016-02-01,108.55062355537919
2016-02-02,105.79127975380081
2016-02-03,104.13439327711544
2016-02-04,103.82927906741224
2016-02-05,101.79133757476818
2016-02-08,97.64373298534775
2016-02-09,96.918476369346
2016-02-10,97.93095200300222
2016-02-11,94.82480884967765
2016-02-12,97.05611803539135
2016-02-15,99.94783706729496
2016-02-16,100.4831831393608
2016-02-17,103.55360696337985
2016-02-18,104.0590918185742
2016-02-19,103.72639252324137
2016-02-22,106.40557486325099
2016-02-23,104.82637146582256
2016-02-24,103.33470539459398
2016-02-25,106.23182370601054
2016-02-26,107.25844748253904
2016-02-29,107.84311701345771
2016-03-01,110.85228323414434
2016-03-02,110.84170086644232
2016-03-03,110.74641096253852
2016-03-04,111.16691907889778
2016-03-07,111.0432697711087
