Date,Recommendation
2015-01-05,100.0
2015-01-06,99.3474087095597
2015-01-07,101.02899944495775
2015-01-08,105.13917568180916
2015-01-09,103.08102942371481
2015-01-12,103.95231733642241
2015-01-13,105.41876221038005
2015-01-14,103.79745608225926
2015-01-15,105.0103323776381
2015-01-16,106.63264751685172
2015-01-19,107.52415331302483
2015-01-20,108.54475561230258
2015-01-21,109.02934251362124
2015-01-22,111.98790248815737
2015-01-23,113.55078692265026
2015-01-26,114.78843135559097
2015-01-27,111.86648782019519
2015-01-28,111.9162374984592
2015-01-29,113.31270283337106
2015-01-30,110.80237831010282
2015-02-02,111.32340386055255
2015-02-03,113.1631740401979
2015-02-04,113.64140793926383
2015-02-05,114.63704594819951
2015-02-06,113.99914610296744
2015-02-09,111.9551354461236
2015-02-10,114.51751494125446
2015-02-11,114.12503585321265
2015-02-12,115.73624732159655
2015-02-13,116.30619890135367
2015-02-16,115.92412324392912
2015-02-17,116.06199363173249
2015-02-18,116.6392315157807
2015-02-19,117.27387365745999
2015-02-20,118.10759878219693
2015-02-23,119.23467267210208
2015-02-24,120.06934872335569
2015-02-25,120.7656594534542
2015-02-26,121.38789767340486
2015-02-27,121.35193628360693
2015-03-02,122.12734438886605
2015-03-03,120.67357044417527
2015-03-04,121.1816069579167
2015-03-05,122.3466699902605
2015-03-06,120.47049045996714
2015-03-09,120.69237604079058
2015-03-10,118.19507802048074
2015-03-11,120.25704634525552
2015-03-12,120.78749533060933
2015-03-13,121.05830974116401
2015-03-16,123.66647089686674
2015-03-17,122.39404050021625
2015-03-18,123.01175594662479
2015-03-19,122.68288145500016
2015-03-20,124.64492270107087
2015-03-23,123.98675718817246
2015-03-24,124.03656561767866
2015-03-25,120.8070662424334
2015-03-26,119.70279381828321
2015-03-27,120.44601890490007
2015-03-30,122.46991012067318
2015-03-31,121.12890482866729
2015-04-01,121.06302492886321
2015-04-02,121.46003322283946
2015-04-06,121.82170518212858
2015-04-07,123.09430145620956
2015-04-08,122.73196620251261
2015-04-09,124.30893811033158
2015-04-10,126.18303605643634
2015-04-13,126.13745050200325
2015-04-14,125.27764948779776
2015-04-15,126.01793403477686
2015-04-16,124.78914016643652
2015-04-17,121.27925519931338
2015-04-20,123.3699695372702
2015-04-21,124.20234329692063
2015-04-22,125.15605278597516
2015-04-23,124.57151324546409
2015-04-24,125.82964153835272
2015-04-27,126.7476987349272
2015-04-28,125.10738201553204
2015-04-29,121.8205819715615
2015-04-30,120.89553458745901
2015-05-01,121.8535297625303
2015-05-04,123.07006083511475
2015-05-05,119.30297479722907
2015-05-06,118.41878382631701
2015-05-07,118.56374756558913
2015-05-08,122.67654621311705
2015-05-11,122.02036677503364
2015-05-12,120.14541202698122
2015-05-13,119.5503818849168
2015-05-14,121.81812885502681
2015-05-15,121.29973446721523
2015-05-18,122.65941023244223
2015-05-19,124.69434883314675
2015-05-20,125.00370561479694
2015-05-21,125.11752414986454
2015-05-22,124.40017808094818
2015-05-25,123.62444823188795
2015-05-26,121.91142855539731
2015-05-27,124.73729704554485
2015-05-28,123.98268393323391
2015-05-29,121.17920413831331
2015-06-01,121.66694689244723
2015-06-02,120.60245036879994
2015-06-03,120.33032029217276
2015-06-04,118.6618721722551
2015-06-05,117.1133605633527
2015-06-08,115.32762794051679
2015-06-09,114.63417997975787
2015-06-10,117.71307848367942
2015-06-11,118.62802765035751
2015-06-12,116.8479728802545
2015-06-15,114.78364591103612
2015-06-16,116.00299427397597
2015-06-17,115.41645169205584
2015-06-18,116.77291612017936
2015-06-19,116.70896377422277
2015-06-22,120.95502049268303
2015-06-23,122.32387688037865
2015-06-24,121.0559775238151
2015-06-25,120.84074496546202
2015-06-26,121.28772545561209
2015-06-29,115.85965842230385
2015-06-30,114.44098588061738
2015-07-01,117.02604819302205
2015-07-02,116.25369232407803
2015-07-03,115.60884840307128
2015-07-06,114.02146604132618
2015-07-07,112.82990188635127
2015-07-08,112.3919095694756
2015-07-09,114.81985159834389
2015-07-10,118.73162110711408
2015-07-13,121.84334948627358
2015-07-14,123.09691226767104
2015-07-15,123.82679428609636
2015-07-16,125.48797481529763
2015-07-17,125.44584073811795
2015-07-20,126.18300209780169
2015-07-21,123.6743694083654
2015-07-22,123.06289762129641
2015-07-23,122.72185435432328
2015-07-24,121.27291417550722
2015-07-27,118.44092811358479
2015-07-28,120.33050383652824
2015-07-29,122.02143273622309
2015-07-30,122.68270557835145
2015-07-31,123.77286530588233
2015-08-03,125.02839992174304
2015-08-04,124.236139466984
2015-08-05,125.79124089599769
2015-08-06,124.31852736384029
2015-08-07,123.49744112218508
2015-08-10,126.06515516658557
2015-08-11,123.20040540996989
2015-08-12,119.838681701644
2015-08-13,121.27923183125394
2015-08-14,121.12600359365733
2015-08-17,121.79539128232418
2015-08-18,121.96840225454878
2015-08-19,119.24698968383322
2015-08-20,114.90334805535979
2015-08-21,108.81131921807457
2015-08-24,101.59530686865853
2015-08-25,103.8230642738709
2015-08-26,106.08151997099365
2015-08-27,111.0887864003454
2015-08-28,111.05875020565789
2015-08-31,110.52023407029894
2015-09-01,105.95488969495447
2015-09-02,107.6845923099478
2015-09-03,110.10640596464384
2015-09-04,106.9866960282574
2015-09-07,107.66698339751059
2015-09-08,110.81243966255536
2015-09-09,110.71001104201646
2015-09-10,110.68738582901354
2015-09-11,110.15264693762359
2015-09-14,109.58962096824958
2015-09-15,111.8423553279623
2015-09-16,113.80444676267362
2015-09-17,113.55956003390409
2015-09-18,110.2227716464402
2015-09-21,111.62245631670459
2015-09-22,107.76649050709592
2015-09-23,107.6985046606219
2015-09-24,105.03703103009745
2015-09-25,108.4385998173373
2015-09-28,105.00680879555262
2015-09-29,103.75804494284796
2015-09-30,107.09981132760556
2015-10-01,106.03947522163242
2015-10-02,107.09636783477967
2015-10-05,111.39101880021734
2015-10-06,112.00228008183326
2015-10-07,111.60575277716589
2015-10-08,112.18043988448407
2015-10-09,112.57776442686367
2015-10-12,112.66992607521806
2015-10-13,111.73052412092169
2015-10-14,109.58005704665096
2015-10-15,112.57312264972427
2015-10-16,113.1409262537386
2015-10-19,114.103534219921
2015-10-20,113.08765391525291
2015-10-21,113.35678900681005
2015-10-22,117.12537394829351
2015-10-23,121.14938228733814
2015-10-26,121.5575375010535
2015-10-27,120.24198166376229
2015-10-28,122.8013581951091
2015-10-29,122.25997242583769
2015-10-30,121.89969805179224
2015-11-02,122.67924909140419
2015-11-03,122.85364605325852
2015-11-04,122.52829393804623
2015-11-05,123.21506193765838
2015-11-06,124.09927738631482
2015-11-09,121.37577920830348
2015-11-10,121.86505712881018
2015-11-11,122.129002226673
2015-11-12,119.14764318935327
2015-11-13,117.22443671049798
2015-11-16,118.28420518456373
2015-11-17,121.29184585765758
2015-11-18,121.53831467013627
2015-11-19,122.01591742806593
2015-11-20,122.74888834687565
2015-11-23,122.13113917937794
2015-11-24,120.46175053209572
2015-11-25,122.31483295762155
2015-11-26,123.5199025537224
2015-11-27,123.17639876786244
2015-11-30,123.1765939696158
2015-12-01,123.0679815388491
2015-12-02,122.43408499794239
2015-12-03,117.30614752430958
2015-12-04,118.49404687392811
2015-12-07,119.4748673375132
2015-12-08,117.15624517177406
2015-12-09,115.51021788673482
2015-12-10,115.80922754600597
2015-12-11,112.42335634185477
2015-12-14,110.94345330424761
2015-12-15,115.07182655482991
2015-12-16,116.47081301384304
2015-12-17,116.95648666232225
2015-12-18,113.33790909412973
2015-12-21,112.70587897770251
2015-12-22,113.48519613731213
2015-12-23,116.40340422439877
2015-12-24,116.16136865481178
2015-12-25,116.16136865481178
2015-12-28,115.49242522761769
