Date,Sentiment
2015-01-05,100.0
2015-01-06,99.56892335100501
2015-01-07,100.80607010136771
2015-01-08,105.66780157225317
2015-01-09,103.45162936839796
2015-01-12,104.57359092942077
2015-01-13,106.60420988718262
2015-01-14,105.00906281241852
2015-01-15,107.2195587942373
2015-01-16,109.75479714135396
2015-01-19,110.90588372292865
2015-01-20,112.08054093664592
2015-01-21,112.17611139358702
2015-01-22,115.655829309444
2015-01-23,117.96718659030107
2015-01-26,120.5052364843555
2015-01-27,118.06466604398476
2015-01-28,117.6049132245919
2015-01-29,119.00175345284528
2015-01-30,116.27604549582476
2015-02-02,116.70310271811606
2015-02-03,118.94841008412959
2015-02-04,119.67845307281873
2015-02-05,119.8574273106801
2015-02-06,119.65158876545856
2015-02-09,116.8064733379811
2015-02-10,119.62404604819183
2015-02-11,119.01687873810755
2015-02-12,122.24740894871775
2015-02-13,122.81828576935034
2015-02-16,121.83260923472771
2015-02-17,121.66831789338153
2015-02-18,122.35175376352626
2015-02-19,123.58909932799078
2015-02-20,123.89472468287427
2015-02-23,125.9527700285044
2015-02-24,127.04832606873602
2015-02-25,127.66352742896743
2015-02-26,128.84743947364677
2015-02-27,129.2424216327812
2015-03-02,129.12330343851443
2015-03-03,126.62352221046172
2015-03-04,127.72580106948611
2015-03-05,129.27087624181004
2015-03-06,127.84381509919214
2015-03-09,127.86379618520377
2015-03-10,125.47060658807203
2015-03-11,128.17892155985754
2015-03-12,129.26878834529728
2015-03-13,129.92458188829124
2015-03-16,133.06554176114702
2015-03-17,131.26500865615634
2015-03-18,131.87865633751449
2015-03-19,131.9456393627822
2015-03-20,134.25555802326167
2015-03-23,133.79531640449443
2015-03-24,134.79090995459455
2015-03-25,131.88732810919137
2015-03-26,131.12530561963825
2015-03-27,131.46926903483075
2015-03-30,133.99519559016895
2015-03-31,132.42781674017064
2015-04-01,132.5381340594739
2015-04-02,133.3677699510526
2015-04-06,133.92055720348597
2015-04-07,135.81093319380363
2015-04-08,135.022379026444
2015-04-09,137.5506395914492
2015-04-10,139.2130002722488
2015-04-13,139.78591447031766
2015-04-14,138.7935913269438
2015-04-15,139.35003524214815
2015-04-16,137.58208075238028
2015-04-17,133.41346121581685
2015-04-20,135.25960589824018
2015-04-21,135.5812733111596
2015-04-22,134.41982110806694
2015-04-23,133.79369740155903
2015-04-24,135.48190468344083
2015-04-27,136.93531823232348
2015-04-28,134.4457398651527
2015-04-29,129.86085818938815
2015-04-30,129.3712730840486
2015-05-01,130.22241894942925
2015-05-04,132.00975212447756
2015-05-05,127.39422887177753
2015-05-06,127.23242537654576
2015-05-07,127.51677279308605
2015-05-08,131.97653144459844
2015-05-11,130.31125880601218
2015-05-12,128.55299550123556
2015-05-13,127.88199191515977
2015-05-14,129.95324537938106
2015-05-15,129.6671781814025
2015-05-18,131.18791941425553
2015-05-19,133.8927202622378
2015-05-20,134.08845193928806
2015-05-21,134.56911800754557
2015-05-22,133.3465073420931
2015-05-25,131.3594092591651
2015-05-26,129.55936422691622
2015-05-27,132.72465827850536
2015-05-28,132.1155648174321
2015-05-29,128.57882130800937
2015-06-01,129.42329059243323
2015-06-02,128.28764803808954
2015-06-03,128.4812846661756
2015-06-04,126.28040522185816
2015-06-05,124.31770309065976
2015-06-08,122.44405175492135
2015-06-09,121.74583612261289
2015-06-10,125.17799972705019
2015-06-11,126.43894343549516
2015-06-12,124.09664405031653
2015-06-15,121.34562218583552
2015-06-16,122.6667526529856
2015-06-17,121.4179616915109
2015-06-18,123.42362229286175
2015-06-19,123.41662178569997
2015-06-22,128.69439097787148
2015-06-23,130.29107566391377
2015-06-24,128.85460146280602
2015-06-25,129.17630997427707
2015-06-26,130.39119580462457
2015-06-29,123.78838090279386
2015-06-30,122.45102976079014
2015-07-01,125.25514922113551
2015-07-02,124.18247611432652
2015-07-03,123.19508122719074
2015-07-06,120.79320780971355
2015-07-07,119.12265465609232
2015-07-08,119.56080937130844
2015-07-09,123.60187630879294
2015-07-10,128.8934265940577
2015-07-13,132.20546205597577
2015-07-14,133.41516832214637
2015-07-15,134.66803174721656
2015-07-16,137.62321861955306
2015-07-17,137.98532626164186
2015-07-20,138.9419887378724
2015-07-21,136.85591054336052
2015-07-22,136.6750897456466
2015-07-23,135.9784432699327
2015-07-24,134.76133521344144
2015-07-27,131.29155299926035
2015-07-28,134.04812829643183
2015-07-29,135.7268171752545
2015-07-30,135.18405973256333
2015-07-31,135.65991872032322
2015-08-03,137.62178306396902
2015-08-04,136.87898988839353
2015-08-05,138.59736780260317
2015-08-06,137.08317917887396
2015-08-07,135.1167145862239
2015-08-10,137.1188777555762
2015-08-11,133.50043901023196
2015-08-12,129.18136724797975
2015-08-13,131.43590873818385
2015-08-14,131.22706251561218
2015-08-17,131.79729578629107
2015-08-18,131.7742597469992
2015-08-19,129.29305685201882
2015-08-20,124.36099722476725
2015-08-21,117.85499777429797
2015-08-24,108.48540738231375
2015-08-25,112.85941401182583
2015-08-26,114.09638261230151
2015-08-27,119.69732160324773
2015-08-28,119.27986223175058
2015-08-31,118.34605433965231
2015-09-01,113.36888442907481
2015-09-02,115.02537704701399
2015-09-03,117.64600115992636
2015-09-04,113.94194573114642
2015-09-07,114.55430377857229
2015-09-08,117.25093836503378
2015-09-09,118.2347698474965
2015-09-10,117.30091355175207
2015-09-11,116.85915321472206
2015-09-14,116.10737173552839
2015-09-15,117.9408671832922
2015-09-16,120.76240757975843
2015-09-17,120.8906119153766
2015-09-18,117.209926604962
2015-09-21,118.9260827377628
2015-09-22,113.86031002667372
