Date,Momentum
2015-01-05,100.0
2015-01-06,99.54007899516083
2015-01-07,100.8523207467183
2015-01-08,104.3881041765545
2015-01-09,102.76508333104444
2015-01-12,103.50854524077074
2015-01-13,104.51327909149127
2015-01-14,103.43539995776473
2015-01-15,104.53723336977889
2015-01-16,105.9433085468183
2015-01-19,106.66563975406405
2015-01-20,107.45057930843438
2015-01-21,108.13972233439812
2015-01-22,110.54323635541456
2015-01-23,111.36462019826553
2015-01-26,112.5122621951894
2015-01-27,109.73463956124277
2015-01-28,109.43105738930758
2015-01-29,110.93512129712941
2015-01-30,108.94477104618895
2015-02-02,109.50862386374308
2015-02-03,110.92253453934255
2015-02-04,111.55407757568092
2015-02-05,112.06719901128984
2015-02-06,111.14094369290275
2015-02-09,109.27793109829983
2015-02-10,111.30283946495094
2015-02-11,110.864863565318
2015-02-12,112.66115177683639
2015-02-13,113.03032303724011
2015-02-16,112.24365169954903
2015-02-17,112.32515260233902
2015-02-18,113.00162083866128
2015-02-19,113.4563848202329
2015-02-20,114.36787331931362
2015-02-23,115.28080794430616
2015-02-24,116.27935528515145
2015-02-25,116.91913290579915
2015-02-26,117.58227698577939
2015-02-27,117.57475877467606
2015-03-02,118.46202155927449
2015-03-03,117.02784142310226
2015-03-04,117.31111618686
2015-03-05,118.22052797794557
2015-03-06,116.83681559531736
2015-03-09,117.29355507787977
2015-03-10,115.23577685991141
2015-03-11,116.59569348916438
2015-03-12,116.6362202209583
2015-03-13,117.01726462667304
2015-03-16,119.10983782802039
2015-03-17,118.16854107343931
2015-03-18,118.88855418424654
2015-03-19,118.86603427645976
2015-03-20,120.59003413760529
2015-03-23,120.17621185012598
2015-03-24,120.02348900924063
2015-03-25,117.28357742031211
2015-03-26,116.43690557492498
2015-03-27,117.28674821581657
2015-03-30,118.71655285516076
2015-03-31,117.59298612653308
2015-04-01,117.40351056799553
2015-04-02,117.6607791630518
2015-04-06,118.15422874286389
2015-04-07,119.54096698199811
2015-04-08,119.22993518203725
2015-04-09,120.4036820909646
2015-04-10,121.78800918145953
2015-04-13,121.5593336443931
2015-04-14,120.76514206690115
2015-04-15,121.15348489996441
2015-04-16,120.2731611140343
2015-04-17,117.66662640793201
2015-04-20,119.3202892870083
2015-04-21,119.93368054980506
2015-04-22,120.53340127172154
2015-04-23,119.7519404225119
2015-04-24,121.25453009932748
2015-04-27,121.81048558766574
2015-04-28,120.54438613012513
2015-04-29,117.71392374373622
2015-04-30,117.04304429266479
2015-05-01,117.941778001038
2015-05-04,118.79980048431575
2015-05-05,115.96247605247011
2015-05-06,115.33265948357008
2015-05-07,115.48466752934806
2015-05-08,118.95941778964853
2015-05-11,118.14858604350574
2015-05-12,117.04880429519571
2015-05-13,116.59679689404975
2015-05-14,118.618739845338
2015-05-15,118.60803022991509
2015-05-18,119.44351490388246
2015-05-19,121.22452756980091
2015-05-20,121.53093833063345
2015-05-21,121.83556928813576
2015-05-22,121.2675922595041
2015-05-25,120.34634129476855
2015-05-26,118.80991738383644
2015-05-27,121.0883032304259
2015-05-28,120.76245234677755
2015-05-29,118.86788741019278
2015-06-01,119.07688860338669
2015-06-02,117.93358077281432
2015-06-03,118.07486485331104
2015-06-04,116.58564909403174
2015-06-05,115.08111015708266
2015-06-08,113.9790874091237
2015-06-09,113.36613919787378
