Date,FRE,PHIA,ORA,OR,ASML,IBE,SU,BN,DTE,SAN,SAN,AI,ENEL,BMW,MC,DPW,ABI,SAF,BAYN,REE,ELE,FER,ANA,TEF,GRF,TL5,AMS,ACS,ENG,COL,SAN,SAN,MEL,IAG,PFE,AAPL,PG,MMM,UNH,IBM,WMT,NKE,DIS,V,CAT,TRV,MCD,KO,XOM,MSFT,JNJ,HD,GS,INTC,MRK,JPM,BA,WBA,VZ,AXP,CSCO
2019-03-22,46.2400016784668,35.310001373291016,14.40999984741211,234.6999969482422,167.3000030517578,7.728000164031982,67.73999786376953,67.69999694824219,15.645000457763672,78.30999755859375,4.145999908447266,100.59100341796875,5.633999824523926,69.5999984741211,313.45001220703125,28.559999465942383,71.80999755859375,118.0999984741211,59.29999923706055,19.40999984741211,23.139999389648438,20.559999465942383,98.05999755859375,7.599999904632568,23.479999542236328,6.622000217437744,67.27999877929688,38.630001068115234,26.899999618530273,9.039999961853027,78.30999755859375,4.145999908447266,8.020000457763672,6.099999904632568,41.849998474121094,191.0500030517578,101.66000366210938,204.66000366210938,247.08999633789062,139.4499969482422,98.27999877929688,82.19000244140625,108.2300033569336,153.07000732421875,129.77000427246094,134.89999389648438,186.80999755859375,45.93000030517578,80.4800033569336,117.05000305175781,136.91000366210938,188.75,188.9600067138672,53.2599983215332,82.29000091552734,99.76000213623047,362.1700134277344,62.40999984741211,59.7599983215332,109.45999908447266,52.7400016784668
2019-03-25,47.09000015258789,35.35499954223633,14.324999809265137,234.8000030517578,165.10000610351562,7.769999980926514,68.30000305175781,67.12999725341797,15.550000190734863,77.95999908447266,4.146500110626221,101.90899658203125,5.619999885559082,68.91999816894531,317.70001220703125,28.530000686645508,71.20999908447266,117.8499984741211,57.59000015258789,19.229999542236328,23.100000381469727,20.450000762939453,97.62000274658203,7.544000148773193,23.459999084472656,6.642000198364258,67.27999877929688,38.560001373291016,26.540000915527344,9.074999809265137,77.95999908447266,4.146500110626221,8.055000305175781,6.064000129699707,41.88999938964844,188.74000549316406,101.95999908447266,203.2100067138672,246.86000061035156,139.17999267578125,98.16999816894531,82.33000183105469,107.79000091552734,153.02999877929688,131.3800048828125,134.9499969482422,185.72000122070312,46.029998779296875,79.91999816894531,117.66000366210938,136.61000061035156,189.67999267578125,188.50999450683594,52.779998779296875,82.3499984741211,98.93000030517578,370.4599914550781,61.689998626708984,60.08000183105469,109.04000091552734,52.72999954223633
2019-03-26,48.7599983215332,35.91999816894531,14.399999618530273,238.3000030517578,166.0,7.765999794006348,68.72000122070312,67.77999877929688,15.635000228881836,78.33000183105469,4.0879998207092285,102.68199920654297,5.702000141143799,67.91000366210938,322.79998779296875,28.639999389648438,72.55000305175781,118.0999984741211,57.06999969482422,19.299999237060547,22.969999313354492,20.84000015258789,98.69999694824219,7.573999881744385,24.020000457763672,6.636000156402588,68.19999694824219,38.619998931884766,26.309999465942383,9.140000343322754,78.33000183105469,4.0879998207092285,8.09000015258789,5.966000080108643,42.41999816894531,186.7899932861328,103.0199966430664,207.24000549316406,243.38999938964844,140.22000122070312,98.31999969482422,83.37999725341797,110.13999938964844,155.3000030517578,131.83999633789062,134.97999572753906,187.47999572753906,46.63999938964844,80.95999908447266,117.91000366210938,138.57000732421875,189.33999633789062,190.69000244140625,53.439998626708984,82.91999816894531,99.91999816894531,370.3800048828125,61.91999816894531,60.630001068115234,109.5,53.22999954223633
2019-03-27,48.540000915527344,35.91999816894531,14.399999618530273,238.39999389648438,163.27999877929688,7.883999824523926,68.9800033569336,67.54000091552734,15.635000228881836,77.69000244140625,4.1519999504089355,102.40899658203125,5.714000225067139,68.2300033569336,322.8999938964844,28.850000381469727,73.20999908447266,116.9000015258789,56.33000183105469,19.2450008392334,23.020000457763672,20.809999465942383,99.13999938964844,7.590000152587891,23.920000076293945,6.874000072479248,68.66000366210938,39.5,26.100000381469727,9.170000076293945,77.69000244140625,4.1519999504089355,8.15999984741211,6.038000106811523,42.02000045776367,188.47000122070312,102.9000015258789,207.16000366210938,241.7100067138672,139.24000549316406,97.20999908447266,83.08999633789062,110.27999877929688,154.22000122070312,131.1999969482422,136.35000610351562,187.50999450683594,46.61000061035156,80.33999633789062,116.7699966430664,138.6999969482422,189.25,190.02999877929688,53.15999984741211,82.29000091552734,99.58000183105469,374.2099914550781,62.22999954223633,60.880001068115234,108.9800033569336,53.13999938964844
2019-03-28,49.08000183105469,36.099998474121094,14.359999656677246,238.60000610351562,163.36000061035156,7.854000091552734,68.68000030517578,68.12000274658203,15.529999732971191,78.70999908447266,4.103000164031982,102.63600158691406,5.685999870300293,67.88999938964844,324.1000061035156,28.729999542236328,73.1500015258789,118.6500015258789,56.290000915527344,19.045000076293945,22.790000915527344,20.799999237060547,99.9800033569336,7.392000198364258,24.170000076293945,6.677999973297119,69.68000030517578,38.70000076293945,25.989999771118164,9.1899995803833,78.70999908447266,4.103000164031982,8.114999771118164,5.946000099182129,42.290000915527344,188.72000122070312,103.55000305175781,208.52999877929688,242.22999572753906,139.9199981689453,97.12999725341797,84.04000091552734,110.70999908447266,154.6699981689453,132.3699951171875,136.89999389648438,189.38999938964844,46.58000183105469,80.73999786376953,116.93000030517578,138.8800048828125,190.05999755859375,191.17999267578125,53.11000061035156,82.62999725341797,100.70999908447266,374.44000244140625,62.5099983215332,59.08000183105469,109.16000366210938,53.36000061035156
2019-03-29,49.7599983215332,36.314998626708984,14.5,239.8000030517578,167.1999969482422,7.826000213623047,69.94000244140625,68.69000244140625,14.795000076293945,78.73999786376953,4.144499778747559,103.04499816894531,5.703999996185303,68.75,327.8999938964844,29.0,74.76000213623047,122.25,57.599998474121094,19.0,22.739999771118164,20.8799991607666,99.30000305175781,7.468999862670898,24.959999084472656,6.656000137329102,71.4000015258789,39.15999984741211,25.940000534057617,9.164999961853027,78.73999786376953,4.144499778747559,8.274999618530273,5.932000160217285,42.470001220703125,189.9499969482422,104.05000305175781,207.77999877929688,247.25999450683594,141.10000610351562,97.52999877929688,84.20999908447266,111.02999877929688,156.19000244140625,135.49000549316406,137.16000366210938,189.89999389648438,46.86000061035156,80.80000305175781,117.94000244140625,139.7899932861328,191.88999938964844,191.99000549316406,53.70000076293945,83.16999816894531,101.2300033569336,381.4200134277344,63.27000045776367,59.130001068115234,109.30000305175781,53.9900016784668
2019-04-01,51.45000076293945,36.525001525878906,14.585000038146973,240.39999389648438,170.5,7.769999980926514,70.73999786376953,68.33999633789062,14.833999633789062,78.8499984741211,4.271999835968018,103.63600158691406,5.6579999923706055,69.69999694824219,333.25,29.440000534057617,74.52999877929688,123.19999694824219,58.2599983215332,18.78499984741211,22.690000534057617,20.989999771118164,99.30000305175781,7.511000156402588,25.110000610351562,6.682000160217285,71.69999694824219,39.20000076293945,25.600000381469727,9.15999984741211,78.8499984741211,4.271999835968018,8.255000114440918,5.883999824523926,42.84000015258789,191.24000549316406,103.63999938964844,211.94000244140625,245.5399932861328,143.3000030517578,97.81999969482422,85.2300033569336,112.51000213623047,157.25999450683594,140.25,138.02000427246094,188.38999938964844,46.720001220703125,81.7300033569336,119.0199966430664,138.97999572753906,195.63999938964844,196.74000549316406,54.5099983215332,83.30000305175781,104.63999938964844,391.5400085449219,63.4900016784668,59.09000015258789,111.69999694824219,54.97999954223633
2019-04-02,51.209999084472656,35.345001220703125,14.604999542236328,238.60000610351562,172.5,7.797999858856201,71.68000030517578,68.5,14.824000358581543,79.23999786376953,4.2779998779296875,103.72699737548828,5.660999774932861,71.25,334.5,29.010000228881836,74.93000030517578,122.3499984741211,59.150001525878906,18.885000228881836,22.639999389648438,21.1200008392334,101.5,7.485000133514404,25.540000915527344,6.670000076293945,71.18000030517578,39.5099983215332,25.81999969482422,9.1850004196167,79.23999786376953,4.2779998779296875,8.300000190734863,5.914000034332275,42.90999984741211,194.02000427246094,103.75,212.1300048828125,244.41000366210938,143.0,96.94000244140625,84.37000274658203,111.95999908447266,157.77999877929688,140.19000244140625,136.80999755859375,188.35000610351562,46.56999969482422,81.37999725341797,119.19000244140625,137.7100067138672,194.30999755859375,197.5,54.36000061035156,83.20999908447266,105.13999938964844,390.75,55.36000061035156,58.529998779296875,111.0,55.290000915527344
2019-04-03,52.41999816894531,35.89500045776367,14.829999923706055,240.1999969482422,176.22000122070312,7.909999847412109,73.05999755859375,68.91999816894531,14.946000099182129,78.70999908447266,4.363999843597412,105.04499816894531,5.708000183105469,72.58000183105469,334.0,29.844999313354492,74.72000122070312,125.05000305175781,60.40999984741211,18.96500015258789,22.639999389648438,21.34000015258789,103.0,7.552999973297119,25.200000762939453,6.8520002365112305,71.5999984741211,39.70000076293945,25.920000076293945,9.279999732971191,78.70999908447266,4.363999843597412,8.380000114440918,6.177999973297119,42.84000015258789,195.35000610351562,103.69000244140625,213.1300048828125,245.83999633789062,143.6300048828125,97.19000244140625,84.47000122070312,112.5199966430664,158.4600067138672,139.25999450683594,136.60000610351562,188.35000610351562,46.18000030517578,80.9000015258789,119.97000122070312,137.1699981689453,198.61000061035156,200.86000061035156,55.47999954223633,83.18000030517578,105.3499984741211,384.739990234375,54.84000015258789,58.869998931884766,110.55999755859375,55.630001068115234
2019-04-04,52.38999938964844,35.44499969482422,14.850000381469727,241.3000030517578,176.83999633789062,7.960000038146973,73.0199966430664,68.4000015258789,15.052000045776367,78.56999969482422,4.4070000648498535,105.18199920654297,5.695000171661377,73.33999633789062,333.54998779296875,29.905000686645508,75.5,124.0,60.68000030517578,19.079999923706055,22.799999237060547,21.25,105.69999694824219,7.619999885559082,25.030000686645508,6.690000057220459,71.4800033569336,39.93000030517578,25.920000076293945,9.319999694824219,78.56999969482422,4.4070000648498535,8.364999771118164,6.110000133514404,42.7400016784668,195.69000244140625,103.43000030517578,215.02999877929688,247.38999938964844,142.77999877929688,98.11000061035156,85.27999877929688,114.75,157.63999938964844,140.1300048828125,136.52000427246094,189.8699951171875,46.47999954223633,82.05000305175781,119.36000061035156,135.57000732421875,200.4499969482422,202.22999572753906,55.91999816894531,81.8499984741211,105.55999755859375,395.8599853515625,54.150001525878906,58.9900016784668,110.12000274658203,55.13999938964844
