Date,Beta
2015-05-01,100.0
2015-05-04,99.32942052792345
2015-05-05,99.92810385425558
2015-05-06,99.19512858661801
2015-05-07,99.7123482013624
2015-05-08,98.4545534870418
2015-05-11,98.69042301071693
2015-05-12,98.76677620929082
2015-05-13,99.47359511069386
2015-05-14,99.27399788810445
2015-05-15,99.42118965054122
2015-05-18,99.04858110926618
2015-05-19,96.46957087674531
2015-05-20,95.84555569384672
2015-05-21,95.76311186309016
2015-05-22,96.56205306588217
2015-05-25,97.7213093070259
2015-05-26,97.14992905632779
2015-05-27,97.56986895213309
2015-05-28,97.75362404903001
2015-05-29,98.58255325556433
2015-06-01,98.394222381518
2015-06-02,98.5173868814551
2015-06-03,97.47758028862886
2015-06-04,97.12311016108785
2015-06-05,98.36563064787221
2015-06-08,98.20612386564956
2015-06-09,98.34120761150105
2015-06-10,98.29019534218686
2015-06-11,96.79428818336959
2015-06-12,97.34675673394104
2015-06-15,98.89297154326253
2015-06-16,98.5321701204403
2015-06-17,99.21077211775643
2015-06-18,99.42247904224138
2015-06-19,99.2322500484323
2015-06-22,96.84170124222847
2015-06-23,95.33448722006057
2015-06-24,94.81387475883783
2015-06-25,95.09279178673496
2015-06-26,93.22088270595604
2015-06-29,94.00663205057701
2015-06-30,94.94699953654614
2015-07-01,94.40584694800381
2015-07-02,94.86529871685174
2015-07-03,95.77200230816574
2015-07-06,96.13585785513213
2015-07-07,97.05824446030866
2015-07-08,94.37812318216483
2015-07-09,91.04382305012902
2015-07-10,90.09655227570548
2015-07-13,89.01217579617155
2015-07-14,89.14991318074202
2015-07-15,87.98781471197215
2015-07-16,85.99241667737007
2015-07-17,85.42403866523553
2015-07-20,84.40211783836783
2015-07-21,84.49731156798136
2015-07-22,84.29739956834206
2015-07-23,85.19218795167218
2015-07-24,83.74381121630896
2015-07-27,84.42441849050033
2015-07-28,85.42194849814024
2015-07-29,84.61658021300929
2015-07-30,85.33412704407326
2015-07-31,84.95810345705888
2015-08-03,84.19184864791576
2015-08-04,83.14045391009928
2015-08-05,83.21293524079042
2015-08-06,82.44552344506111
2015-08-07,84.17048606299505
2015-08-10,85.29611887667605
2015-08-11,85.16598017416943
2015-08-12,87.19419799559844
2015-08-13,86.04615302107553
2015-08-14,86.75176784978565
2015-08-17,86.9673877881032
2015-08-18,86.0815198019377
2015-08-19,86.69287182812685
2015-08-20,86.07521610951254
2015-08-21,86.19943586873843
2015-08-24,88.55459833935564
2015-08-25,83.46017371752762
2015-08-26,87.86337658300994
2015-08-27,87.52845205774729
2015-08-28,87.09755936936538
2015-08-31,87.87343475165427
2015-09-01,86.81598303351122
2015-09-02,87.83431021003487
2015-09-03,87.51475010812557
2015-09-04,87.5788427268882
2015-09-07,87.0157548880379
2015-09-08,89.38466848235143
2015-09-09,87.00560818697541
2015-09-10,88.22068397010226
2015-09-11,88.92729255959883
2015-09-14,89.47890344540194
2015-09-15,89.43410366099002
2015-09-16,87.98952909148831
2015-09-17,87.30873747416034
2015-09-18,86.6177946612674
2015-09-21,85.91803074698066
2015-09-22,85.82380639888977
2015-09-23,85.56441098382837
2015-09-24,86.84097137946847
2015-09-25,85.16296105835787
2015-09-28,84.71928696808787
2015-09-29,85.40950026839424
2015-09-30,85.39082478860577
2015-10-01,85.0928648051053
2015-10-02,85.08049631830114
2015-10-05,84.3468411396286
2015-10-06,84.72531173953563
2015-10-07,86.61099856580141
2015-10-08,86.94429099450637
2015-10-09,86.98194432328717
2015-10-12,86.58857241283063
2015-10-13,86.63038074547083
2015-10-14,87.91979584426728
2015-10-15,86.41317580615743
2015-10-16,86.60010784682422
2015-10-19,86.1321087960893
2015-10-20,85.72872417414683
2015-10-21,85.76448214679789
2015-10-22,84.73271639783178
2015-10-23,83.514668091156
2015-10-26,82.12824162486895
2015-10-27,81.33996347348614
2015-10-28,81.3187318842994
2015-10-29,79.56861674866806
2015-10-30,80.80176178952894
2015-11-02,80.94067594718405
2015-11-03,81.0989591844376
2015-11-04,80.98642269336536
2015-11-05,80.23677013909253
2015-11-06,82.23845106368702
2015-11-09,82.18773066269651
2015-11-10,80.9904748519314
2015-11-11,79.91308111891628
2015-11-12,79.99127529000101
2015-11-13,78.91188159082674
2015-11-16,79.35496240021666
2015-11-17,77.50945257644854
2015-11-18,79.7010554757043
2015-11-19,79.72019479796404
2015-11-20,79.62573736302075
2015-11-23,79.50508720955116
2015-11-24,81.75681641299704
2015-11-25,80.01440058378228
2015-11-26,79.85986409025324
2015-11-27,80.06775593845968
2015-11-30,80.86233014284626
2015-12-01,82.67047758350401
2015-12-02,80.6794341898928
2015-12-03,82.29077386419979
2015-12-04,83.71657373490014
2015-12-07,81.77542611617905
2015-12-08,82.07728092445113
2015-12-09,82.34042001761439
2015-12-10,83.56871575094243
2015-12-11,82.8677294151348
2015-12-14,83.15070228101979
2015-12-15,82.47332108355613
2015-12-16,83.2012720922197
2015-12-17,80.8235861006664
2015-12-18,80.85784423347629
2015-12-21,84.13022195981382
2015-12-22,84.96476793964828
2015-12-23,83.77314801219724
2015-12-24,83.82183328144404
2015-12-25,83.82183328144404
2015-12-28,83.70367807085975
2015-12-29,82.78602870748887
2015-12-30,82.5752054112138
2015-12-31,82.42136131895799
2016-01-01,82.42136131895799
2016-01-04,84.36529953271163
2016-01-05,83.51916438774595
2016-01-06,81.60644775736053
2016-01-07,80.34628795115417
2016-01-08,79.85995707831646
2016-01-11,79.96784001630918
2016-01-12,80.12621817864387
2016-01-13,78.11463828083895
2016-01-14,80.19331133948694
2016-01-15,78.63406760445486
