Date,Quality
2015-05-01,100.0
2015-05-04,99.60229688278378
2015-05-05,99.8182277116627
2015-05-06,99.77191612360889
2015-05-07,99.1243351653872
2015-05-08,98.78809557476005
2015-05-11,98.82733334180499
2015-05-12,99.19811061153935
2015-05-13,99.56470543316038
2015-05-14,99.68722151772607
2015-05-15,99.41679956941853
2015-05-18,100.28347276724448
2015-05-19,98.03067352405255
2015-05-20,97.03164689287125
2015-05-21,94.1776129466001
2015-05-22,94.9600075945391
2015-05-25,95.95877605137841
2015-05-26,96.00358845123564
2015-05-27,96.38808121923752
2015-05-28,97.12104062356224
2015-05-29,98.5186810305156
2015-06-01,99.17494556493732
2015-06-02,99.01620793752836
2015-06-03,100.04587206726627
2015-06-04,101.17483255166484
2015-06-05,102.44224209652229
2015-06-08,100.88005336639168
2015-06-09,99.89392764519495
2015-06-10,99.66208113567282
2015-06-11,99.57930845626598
2015-06-12,100.75240361291854
2015-06-15,101.99443640762364
2015-06-16,102.72001875653704
2015-06-17,103.60544906091963
2015-06-18,103.35232339403932
2015-06-19,103.68681847511931
2015-06-22,100.83706370115281
2015-06-23,99.5019043481842
2015-06-24,99.03033859833782
2015-06-25,98.9980775725276
2015-06-26,99.02789892423098
2015-06-29,100.79687596057609
2015-06-30,102.27198799503059
2015-07-01,101.77928086485943
2015-07-02,102.34310121984623
2015-07-03,102.70835267226603
2015-07-06,104.59093323799952
2015-07-07,109.3183419579914
2015-07-08,106.4825200281662
2015-07-09,103.8165305802876
2015-07-10,102.72086264592103
2015-07-13,102.48491863200427
2015-07-14,101.56981405946728
2015-07-15,102.62485410719925
2015-07-16,101.30866587520693
2015-07-17,100.99541004262952
2015-07-20,102.73438719597446
2015-07-21,102.34110681893667
2015-07-22,102.18901642086638
2015-07-23,101.83758568235189
2015-07-24,102.8562903152338
2015-07-27,105.50113771902905
2015-07-28,109.04678271843733
2015-07-29,110.51243225080587
2015-07-30,111.64797453195668
2015-07-31,110.38372248698829
2015-08-03,109.44413647914112
2015-08-04,109.80199048700774
2015-08-05,110.04621228244346
2015-08-06,109.76895079957372
2015-08-07,111.11210829903055
2015-08-10,112.10095605582615
2015-08-11,113.39574598516795
2015-08-12,116.81397803588388
2015-08-13,114.75024226889232
2015-08-14,116.62658486242739
2015-08-17,116.09649314629144
2015-08-18,116.16006750714219
2015-08-19,116.98594969218546
2015-08-20,117.48990678043145
2015-08-21,117.66506935459465
2015-08-24,120.95034662758448
2015-08-25,114.13692810332122
2015-08-26,120.52447921426788
2015-08-27,117.35829906822411
2015-08-28,117.61857754253879
2015-08-31,117.83745575093826
2015-09-01,116.22601223268127
2015-09-02,118.75287269444038
2015-09-03,118.77443505409303
2015-09-04,120.49077424492489
2015-09-07,120.69124213636246
2015-09-08,122.5004193231009
2015-09-09,119.5475317958557
2015-09-10,122.36026627092828
2015-09-11,123.96709415356332
2015-09-14,124.46956147522678
2015-09-15,126.0181283707185
2015-09-16,124.36810628259386
2015-09-17,124.79211783147527
2015-09-18,127.85820771716614
2015-09-21,130.19021173106287
2015-09-22,133.9220557094897
2015-09-23,136.04287660166537
2015-09-24,137.67574531718634
2015-09-25,135.95357759561657
2015-09-28,136.65028136391416
2015-09-29,136.28750173243995
2015-09-30,136.26373227735843
2015-10-01,134.9658439503196
2015-10-02,135.24552346414728
2015-10-05,134.98920484598315
2015-10-06,131.12570213801266
2015-10-07,130.7508036739254
2015-10-08,131.41563421372166
2015-10-09,130.79921132245485
2015-10-12,134.96295704346707
2015-10-13,136.32395282073213
2015-10-14,139.19590530081962
2015-10-15,139.53992751852877
2015-10-16,138.328274520778
2015-10-19,139.48106122658723
2015-10-20,143.31473444709698
2015-10-21,141.93529551157957
2015-10-22,140.51042445989435
2015-10-23,148.48001561394952
2015-10-26,145.35829041352665
2015-10-27,148.15748550791366
2015-10-28,149.1836099837214
2015-10-29,147.899925932016
2015-10-30,144.03307044956097
2015-11-02,142.39688199983487
2015-11-03,140.98176873166958
2015-11-04,142.2685266648836
2015-11-05,143.7347333796748
2015-11-06,142.29319068549682
2015-11-09,142.49200535530198
2015-11-10,141.87996150650366
2015-11-11,140.3721405871352
2015-11-12,142.7551673023085
2015-11-13,141.5198773692646
2015-11-16,141.76345146605723
2015-11-17,138.8895315708183
2015-11-18,140.12654544759638
2015-11-19,141.76468380871447
2015-11-20,143.26141590924345
2015-11-23,141.5520523185431
2015-11-24,139.62048906132665
2015-11-25,141.53898182656712
2015-11-26,139.97658067303797
2015-11-27,139.9664805622894
2015-11-30,136.76117824562553
2015-12-01,138.3758114854342
2015-12-02,140.80952330902045
2015-12-03,143.01263644895678
2015-12-04,146.08362227222597
2015-12-07,148.69805782343312
2015-12-08,151.9183407948799
2015-12-09,144.8891490775759
2015-12-10,143.76143036731258
2015-12-11,146.7543250770322
2015-12-14,151.9187133166784
2015-12-15,149.3046002290683
2015-12-16,148.23040305694562
2015-12-17,142.4343112595415
2015-12-18,140.15377092663374
2015-12-21,141.7346121927158
2015-12-22,140.65933949415208
2015-12-23,136.51452680803692
2015-12-24,136.62732956661654
2015-12-25,136.62732956661654
2015-12-28,139.7605390166074
2015-12-29,139.04440049659243
2015-12-30,139.40847446159418
2015-12-31,138.28068429326515
2016-01-01,138.28068429326515
2016-01-04,137.4788041634053
2016-01-05,133.71910119204736
2016-01-06,134.5678758306048
2016-01-07,134.54155009341196
2016-01-08,135.89852108571782
2016-01-11,136.30752380735936
2016-01-12,135.87957259746815
2016-01-13,131.67696905978025
2016-01-14,135.72025211726844
2016-01-15,140.01626644558743
