Date,Sentiment
2015-05-01,100.0
2015-05-04,100.29575911499356
2015-05-05,99.61297148690527
2015-05-06,99.6570926892077
2015-05-07,99.45539892589156
2015-05-08,100.12200197078903
2015-05-11,100.30420005463144
2015-05-12,99.52821771443358
2015-05-13,99.41381478514931
2015-05-14,98.9932330154877
2015-05-15,98.6392982075495
2015-05-18,99.1028199479602
2015-05-19,99.4153366813804
2015-05-20,99.0899712006514
2015-05-21,98.71317832248323
2015-05-22,98.00531037925849
2015-05-25,97.59255424627436
2015-05-26,97.83256645644352
2015-05-27,98.39421070662844
2015-05-28,98.37985759571451
2015-05-29,98.2006997448151
2015-06-01,98.208539956826
2015-06-02,98.3446994513938
2015-06-03,98.64233655699236
2015-06-04,98.5122446267102
2015-06-05,99.08373318812778
2015-06-08,99.0190452040519
2015-06-09,99.54848563607734
2015-06-10,99.58866872918503
2015-06-11,99.30611942119876
2015-06-12,99.18737149208083
2015-06-15,99.28899752569582
2015-06-16,99.19114566941799
2015-06-17,99.52572450800041
2015-06-18,99.74544043723554
2015-06-19,100.25261731099252
2015-06-22,100.83274496356951
2015-06-23,101.46928066577958
2015-06-24,100.97403885856006
2015-06-25,100.81241240203596
2015-06-26,100.43456919579833
2015-06-29,99.99571557186195
2015-06-30,99.83827049369151
2015-07-01,100.17156347683803
2015-07-02,100.13879069818277
2015-07-03,100.13572736709106
2015-07-06,100.50290317501789
2015-07-07,100.14012218962405
2015-07-08,100.30939729289948
2015-07-09,100.77236738756797
2015-07-10,101.00157927809852
2015-07-13,100.69665798405987
2015-07-14,101.65701575925375
2015-07-15,101.86269733860192
2015-07-16,102.68322708717041
2015-07-17,102.5684749929724
2015-07-20,102.3482714256174
2015-07-21,102.2500803895638
2015-07-22,102.50940292036002
2015-07-23,102.47391265391967
2015-07-24,101.77790471833913
2015-07-27,101.2085148182848
2015-07-28,102.64146526432175
2015-07-29,102.95260604400329
2015-07-30,102.66605196147592
2015-07-31,102.17949807642218
2015-08-03,102.9766547134491
2015-08-04,102.87162529233859
2015-08-05,102.81021100793465
2015-08-06,102.87258521107405
2015-08-07,102.37698392398978
2015-08-10,101.80557685040209
2015-08-11,101.98659782371705
2015-08-12,101.91603722401524
2015-08-13,102.10893631068234
2015-08-14,102.47710473102782
2015-08-17,102.69365220268695
2015-08-18,103.08561129465832
2015-08-19,103.17187372388968
2015-08-20,103.15472524413042
2015-08-21,102.92004856747349
2015-08-24,102.2335284676463
2015-08-25,102.01853642275903
2015-08-26,101.85287581171906
2015-08-27,102.10179242212476
2015-08-28,101.48625879776114
2015-08-31,101.71960005814097
2015-09-01,101.44421540453449
2015-09-02,101.70797419104338
2015-09-03,101.24821999224777
2015-09-04,102.06968351369484
2015-09-07,101.79976966548502
2015-09-08,102.2262636109051
2015-09-09,102.54854636449986
2015-09-10,101.91129004505608
2015-09-11,102.29048292627712
2015-09-14,102.11798807373884
2015-09-15,101.93309556254933
2015-09-16,101.8673911150128
2015-09-17,102.10005695568158
2015-09-18,102.04132697616976
2015-09-21,101.87927667307822
2015-09-22,101.15716698795221
2015-09-23,101.49582445882093
2015-09-24,100.7720344379824
2015-09-25,99.62750305013668
2015-09-28,98.69067532719765
2015-09-29,98.04116416402164
2015-09-30,98.43807894581272
2015-10-01,98.34876454376732
2015-10-02,98.00792589864146
2015-10-05,98.43924360527657
2015-10-06,97.43755544681433
2015-10-07,97.74495798544028
2015-10-08,98.17331122908918
2015-10-09,98.51266216359875
2015-10-12,98.11207956939475
2015-10-13,97.49112728765144
2015-10-14,96.6896175262431
2015-10-15,97.28392676366805
2015-10-16,97.36106064616288
2015-10-19,96.89018054202673
2015-10-20,96.08852214475738
2015-10-21,95.54832052096357
2015-10-22,96.39730083696385
2015-10-23,97.2049065629859
2015-10-26,96.79016896968669
2015-10-27,97.17070113863888
2015-10-28,96.43853434146287
2015-10-29,96.22117240156463
2015-10-30,96.18051688481604
2015-11-02,96.42850928540692
2015-11-03,96.2497545298666
2015-11-04,96.99528125631731
2015-11-05,97.49514310505461
2015-11-06,97.76928110829174
2015-11-09,97.4659413761324
2015-11-10,97.93531962279921
2015-11-11,97.8769793714259
2015-11-12,97.02412369205621
2015-11-13,97.24720770521596
2015-11-16,97.2961906039418
2015-11-17,97.91972350016329
2015-11-18,97.91336867936127
2015-11-19,97.23572849209604
2015-11-20,97.6726226884215
2015-11-23,98.44600785799561
2015-11-24,98.65883836526011
2015-11-25,99.13288141191343
2015-11-26,99.12161072751994
2015-11-27,99.30725864578912
2015-11-30,98.7074201378264
2015-12-01,98.91783396870464
2015-12-02,98.69167202237135
2015-12-03,98.22497052888573
2015-12-04,98.22485922359034
2015-12-07,98.6444613785524
2015-12-08,99.24530578861504
2015-12-09,98.93479382977519
2015-12-10,99.26606723490981
2015-12-11,98.91067164133223
2015-12-14,98.58803871537722
2015-12-15,98.64672531804584
2015-12-16,99.434526199903
2015-12-17,99.80638728465406
2015-12-18,98.84720670582276
2015-12-21,98.5448144174657
2015-12-22,98.80363286628327
2015-12-23,98.85483067352274
2015-12-24,99.36262167483056
2015-12-25,99.36262167483056
2015-12-28,99.49206655089186
2015-12-29,99.47901612499538
2015-12-30,99.69258512929163
2015-12-31,99.94267554674556
2016-01-01,99.94267554674556
2016-01-04,99.74719891987075
2016-01-05,99.66686302976309
2016-01-06,100.05010588222794
2016-01-07,100.25630875779942
2016-01-08,100.09505037625811
2016-01-11,99.71085513721978
2016-01-12,100.52453470167427
2016-01-13,99.89657158222008
2016-01-14,99.6483309905815
2016-01-15,99.10751577419515
