Date,Size
2015-05-01,100.0
2015-05-05,99.0138828494658
2015-05-06,98.86798128523778
2015-05-07,98.99740897139934
2015-05-08,99.87542868518376
2015-05-11,99.10951936525981
2015-05-12,98.45248116677124
2015-05-13,98.29494299026386
2015-05-14,98.4213186735339
2015-05-15,98.34437881766405
2015-05-18,97.9554083200676
2015-05-19,97.94754027251942
2015-05-20,97.86637543205785
2015-05-21,97.9900779465564
2015-05-22,97.87062945873423
2015-05-26,96.87472740261883
2015-05-27,97.8455295842036
2015-05-28,97.77317002751202
2015-05-29,97.027489434952
2015-06-01,96.22422045923122
2015-06-02,95.72390960143342
2015-06-03,95.90926363105169
2015-06-04,95.17554954723205
2015-06-05,94.41540651851048
2015-06-08,94.40432812192341
2015-06-09,94.24956108616256
2015-06-10,95.29496341711473
2015-06-11,95.41686944284601
2015-06-12,94.9689445701858
2015-06-15,94.74648481321556
2015-06-16,94.84708604582562
2015-06-17,93.87543129018326
2015-06-18,94.34867325261747
2015-06-19,94.74774672966586
2015-06-22,95.62073888618505
2015-06-23,95.62482975172298
2015-06-24,95.56474452978355
2015-06-25,95.43536863207571
2015-06-26,94.69679009423805
2015-06-29,94.0717891069901
2015-06-30,92.80056051977603
2015-07-01,93.5870228595182
2015-07-02,93.68581961008535
2015-07-03,93.11204064633237
2015-07-06,93.00098722468196
2015-07-07,92.34377208036247
2015-07-08,93.33085551729502
2015-07-09,94.22707963943988
2015-07-10,94.90432142231988
2015-07-13,95.45361477704492
2015-07-14,95.60229259396571
2015-07-15,95.51081881780259
2015-07-16,95.70484710400281
2015-07-17,95.25412526087136
2015-07-20,95.3831146796107
2015-07-21,95.18796879981078
2015-07-22,93.99065183135708
2015-07-23,93.69941253051526
2015-07-24,93.08449831761605
2015-07-27,92.72027042276054
2015-07-28,93.7268642250862
2015-07-29,93.97820889085526
2015-07-30,94.48091549301301
2015-07-31,94.70438885203113
2015-08-03,94.64031193685477
2015-08-04,94.39207712410261
2015-08-05,95.04332958502411
2015-08-06,95.05685488870057
2015-08-07,94.72029803639232
2015-08-10,94.71754773698272
2015-08-11,94.0157037312896
2015-08-12,93.49558888914667
2015-08-13,93.13924225984205
2015-08-14,92.83626067638606
2015-08-17,92.76284403575298
2015-08-18,92.52541553735402
2015-08-19,91.51279027881283
2015-08-20,91.5034427264203
2015-08-21,90.14361185018487
2015-08-24,89.81488554053708
2015-08-25,90.08253706504166
2015-08-26,88.7498083845442
2015-08-27,90.50697826310954
2015-08-28,90.64927582028369
2015-09-01,88.71637669875194
2015-09-02,88.73997810419415
2015-09-03,89.66476740224068
2015-09-04,88.19088737704591
2015-09-07,88.68873909628114
2015-09-08,89.30265636669212
2015-09-09,89.92543957563697
2015-09-10,89.63386585995787
2015-09-11,89.02697626866826
2015-09-14,88.79492258844117
2015-09-15,89.57434944165324
2015-09-16,90.74273014854413
2015-09-17,90.09399808736003
2015-09-18,89.27274313731833
2015-09-21,89.49665426120316
2015-09-22,87.97664434029193
2015-09-23,89.07110282184613
2015-09-24,88.82699658975149
2015-09-25,90.28690628010736
2015-09-28,88.7718946710328
2015-09-29,88.5103877540282
2015-09-30,90.22831448893476
2015-10-01,89.85054629921524
2015-10-02,90.4683717436291
2015-10-05,91.84912582023154
2015-10-06,91.82891810751669
2015-10-07,91.65327426349592
2015-10-08,92.1799335991032
2015-10-09,92.33832068295679
2015-10-12,91.63722845768834
2015-10-13,91.58098866115422
2015-10-14,90.92596150567819
2015-10-15,91.59162984665818
2015-10-16,92.291386495658
2015-10-19,92.1014437683364
2015-10-20,92.13710598670306
2015-10-21,92.36930235543457
2015-10-22,92.5330233968167
2015-10-23,92.77452072993515
2015-10-26,92.34892051661299
2015-10-27,92.22543492172798
2015-10-28,93.03606773478803
2015-10-29,92.66680004110837
2015-10-30,92.31476157031024
2015-11-02,92.03001461560771
2015-11-03,92.15802810516942
2015-11-04,92.50285071164771
2015-11-05,92.08463348113628
2015-11-06,91.89653434262199
2015-11-09,91.21325443185015
2015-11-10,91.20240645120457
2015-11-11,91.6838195703126
2015-11-12,90.364205229149
2015-11-13,90.0787593358822
2015-11-16,90.64346471200055
2015-11-17,91.88754404289179
2015-11-18,92.01097410009561
2015-11-19,92.54162667134645
2015-11-20,92.28203369792136
2015-11-23,92.46970562668243
2015-11-24,92.03699222321804
2015-11-25,92.69228483584688
2015-11-26,93.25002354070728
2015-11-27,93.20984011478602
2015-11-30,92.71478498862254
2015-12-01,92.90896118859516
2015-12-02,93.03764132297967
2015-12-03,91.25835805629474
2015-12-04,91.08825559180394
2015-12-07,91.02797467666326
2015-12-08,90.14327067128184
2015-12-09,89.94836660947882
2015-12-10,89.67592200884224
2015-12-11,88.56179883161926
2015-12-14,87.81289070951503
2015-12-15,89.47993530559229
2015-12-16,89.7128826425492
2015-12-17,90.01475534590601
2015-12-18,88.77647796246693
2015-12-21,88.42307329554657
2015-12-22,88.6626445818212
2015-12-23,90.8012417968413
2015-12-29,91.11233895526514
2015-12-30,90.5453950846394
2016-01-04,88.7643838743742
2016-01-05,89.383217351819
2016-01-06,88.84485390448972
2016-01-07,88.18722041977432
2016-01-08,87.9106627067988
2016-01-11,87.75487695386471
2016-01-12,88.60109497162581
2016-01-13,88.61152475869216
2016-01-14,89.2458918882346
2016-01-15,88.87862881910347
2016-01-18,89.28249172453918
2016-01-19,90.83060897902405
2016-01-20,90.17989082426641
2016-01-21,91.34365952393172
2016-01-22,91.7337026506467
2016-01-25,90.9576219609443
2016-01-26,91.80694854862952
2016-01-27,92.85108223740303
