Date,Recommendation
2015-05-01,100.0
2015-05-04,99.26898121492675
2015-05-05,99.49299005728135
2015-05-06,99.28872442732937
2015-05-07,100.00180470936449
2015-05-08,99.66115684150643
2015-05-11,98.8540646454246
2015-05-12,98.38508005651512
2015-05-13,98.45943580114572
2015-05-14,98.76591505319269
2015-05-15,98.91078836836635
2015-05-18,98.98529759957005
2015-05-19,98.71354484363138
2015-05-20,99.64078302926646
2015-05-21,100.29937980196694
2015-05-22,100.95945136965786
2015-05-25,102.1635980656157
2015-05-26,102.50279977562596
2015-05-27,103.81032758883288
2015-05-28,103.57656712539124
2015-05-29,104.06647770723934
2015-06-01,104.4879261487952
2015-06-02,104.20189275180645
2015-06-03,104.33578570934947
2015-06-04,104.30173694992367
2015-06-05,105.62052393873668
2015-06-08,105.30520249554371
2015-06-09,105.32686724111208
2015-06-10,105.53464766804667
2015-06-11,104.58316873348718
2015-06-12,105.02727709187882
2015-06-15,105.54525059455013
2015-06-16,105.5162112358802
2015-06-17,105.92863747592233
2015-06-18,106.89566211091574
2015-06-19,106.53832475727877
2015-06-22,104.9389473098564
2015-06-23,105.6058927061435
2015-06-24,105.89012826649574
2015-06-25,105.57885763897436
2015-06-26,104.22830350629467
2015-06-29,104.64515595830372
2015-06-30,104.83341415708645
2015-07-01,104.3888799628611
2015-07-02,104.68231401869215
2015-07-03,104.94259170748386
2015-07-06,105.00209620271403
2015-07-07,105.13755939797102
2015-07-08,103.75441077376168
2015-07-09,102.79304323274593
2015-07-10,102.29097549102
2015-07-13,102.60461585533048
2015-07-14,103.93654412894284
2015-07-15,102.25041380700212
2015-07-16,102.41687412321373
2015-07-17,104.64737283951685
2015-07-20,103.86127260597756
2015-07-21,104.4143358066082
2015-07-22,102.7087523324063
2015-07-23,103.40870247954393
2015-07-24,104.10268548894499
2015-07-27,103.06852040560285
2015-07-28,102.66827226103571
2015-07-29,103.06896840268539
2015-07-30,105.21228863382305
2015-07-31,104.40818544648639
2015-08-03,104.54341986200463
2015-08-04,104.75314996643586
2015-08-05,105.33424596215977
2015-08-06,105.77875734112482
2015-08-07,106.2597755820317
2015-08-10,106.10284217767878
2015-08-11,106.03681468958901
2015-08-12,106.72442996040125
2015-08-13,105.6209994003182
2015-08-14,105.68200897353334
2015-08-17,106.27828859412988
2015-08-18,104.99362596322597
2015-08-19,105.17252933041925
2015-08-20,102.96241413923426
2015-08-21,102.20767944947546
2015-08-24,101.9094830730029
2015-08-25,100.00024667479113
2015-08-26,103.11731960573209
2015-08-27,105.26413719984201
2015-08-28,105.0871635456418
2015-08-31,103.95166287429426
2015-09-01,102.66697528755176
2015-09-02,103.84921766944963
