Date,Momentum
2015-05-01,100.0
2015-05-04,100.24161155700622
2015-05-05,100.92220650220119
2015-05-06,100.67347782570015
2015-05-07,101.12938746056608
2015-05-08,100.47863226956892
2015-05-11,100.48792523748
2015-05-12,100.84705916500813
2015-05-13,101.16989775065487
2015-05-14,101.70778929776895
2015-05-15,102.06436628821515
2015-05-18,102.53084038644853
2015-05-19,101.22846517533364
2015-05-20,101.19896203761373
2015-05-21,101.14176725601918
2015-05-22,101.16345365548688
2015-05-25,102.11945803526551
2015-05-26,101.86830066338992
2015-05-27,101.95948673585967
2015-05-28,102.17915895648262
2015-05-29,103.30176117266691
2015-06-01,103.4983674517909
2015-06-02,102.97627318245705
2015-06-03,103.34298823220831
2015-06-04,103.66951039459386
2015-06-05,105.27325619879379
2015-06-08,105.40352233717975
2015-06-09,105.39899149015174
2015-06-10,104.70694606847734
2015-06-11,104.38163794444081
2015-06-12,104.88443639729839
2015-06-15,105.94022440408223
2015-06-16,106.1731224781765
2015-06-17,106.8663328861545
2015-06-18,107.84944537878037
2015-06-19,107.19110516943151
2015-06-22,105.37882594555606
2015-06-23,105.27426664493032
2015-06-24,105.11488783517498
2015-06-25,105.23164131304604
2015-06-26,104.06503843635583
2015-06-29,105.47699504091013
2015-06-30,107.02588514481745
2015-07-01,105.92498032358172
2015-07-02,106.81399504572873
2015-07-03,107.35551183453363
2015-07-06,108.55654530911013
2015-07-07,109.26434078416908
2015-07-08,107.14490037487344
2015-07-09,105.48920968806138
2015-07-10,103.88198012420527
2015-07-13,103.45787610174723
2015-07-14,103.8629207651319
2015-07-15,102.9646744140347
2015-07-16,102.42040502340018
2015-07-17,102.72809126960858
2015-07-20,102.51982730562189
2015-07-21,102.71369697563888
2015-07-22,101.8995593208601
2015-07-23,102.35867195353539
2015-07-24,101.78114824471704
2015-07-27,102.2033739688493
2015-07-28,102.6176310588664
2015-07-29,102.7591732128364
2015-07-30,102.96532607825135
2015-07-31,102.85132869231636
2015-08-03,102.27320367583701
2015-08-04,103.2061006797979
2015-08-05,103.21343860741149
2015-08-06,101.99489154995432
2015-08-07,102.53208708313468
2015-08-10,102.75790152326343
2015-08-11,102.83373235689263
2015-08-12,104.91530060983914
2015-08-13,103.82108530135753
2015-08-14,104.21953460637913
2015-08-17,105.11411033034622
2015-08-18,104.2980038037941
2015-08-19,104.6011414513095
2015-08-20,103.2297109283501
2015-08-21,103.57535149410555
2015-08-24,105.00798036955872
2015-08-25,102.35718855298919
2015-08-26,105.98131252670669
2015-08-27,105.96760164961945
2015-08-28,106.15276726617648
2015-08-31,105.5454149512143
2015-09-01,105.18533123284048
2015-09-02,107.29124732481023
2015-09-03,106.00902313180875
2015-09-04,107.16736445626125
2015-09-07,106.98985035386467
2015-09-08,108.85613528517327
2015-09-09,106.78859994060178
2015-09-10,108.71639055166781
2015-09-11,110.24787384623757
2015-09-14,110.5293656831218
2015-09-15,110.81996315201921
2015-09-16,109.9764469924236
2015-09-17,108.91969429722067
2015-09-18,109.84605894194694
2015-09-21,108.94031643596094
2015-09-22,110.31596493340726
2015-09-23,110.10475257698275
2015-09-24,111.34223171770022
2015-09-25,108.20927972752561
2015-09-28,106.89229214236934
2015-09-29,106.74293730098533
2015-09-30,107.48186558564058
2015-10-01,107.71729617841055
2015-10-02,108.93718895742326
2015-10-05,106.43756468344152
2015-10-06,104.89373213013577
2015-10-07,104.82260188439061
2015-10-08,104.66201472632495
2015-10-09,104.33674525729415
2015-10-12,104.91146790455026
2015-10-13,104.73897290384912
2015-10-14,105.18830980477615
2015-10-15,106.34705975291384
2015-10-16,105.67046538404303
2015-10-19,106.07190846265733
2015-10-20,106.2274495033044
2015-10-21,105.72994068441638
2015-10-22,106.25786785537879
2015-10-23,107.56994001771815
2015-10-26,107.7697014602381
2015-10-27,109.02167600957992
2015-10-28,109.68533588073689
