Date,Value
2015-05-01,100.0
2015-05-04,99.18276861696813
2015-05-05,99.36842138203211
2015-05-06,98.27228079391692
2015-05-07,98.17397578576217
2015-05-08,97.55263379942508
2015-05-11,97.83213185455679
2015-05-12,98.09681735405302
2015-05-13,98.40644566300374
2015-05-14,98.73749699976034
2015-05-15,99.20861458448354
2015-05-18,99.8075962163829
2015-05-19,98.29630399902997
2015-05-20,97.36371123881767
2015-05-21,96.60911843122811
2015-05-22,95.79036980070613
2015-05-25,96.78023883446305
2015-05-26,96.25492960769638
2015-05-27,96.80347522509227
2015-05-28,96.93482178416912
2015-05-29,98.35072464683745
2015-06-01,98.73749983637511
2015-06-02,98.45310591458016
2015-06-03,98.71493009316097
2015-06-04,99.43483779701566
2015-06-05,99.60653815095873
2015-06-08,99.3156183698249
2015-06-09,99.11092653660366
2015-06-10,98.7523658622541
2015-06-11,98.66089332395256
2015-06-12,98.79186642838825
2015-06-15,99.95541916441798
2015-06-16,100.48389000732122
2015-06-17,101.1242733030141
2015-06-18,101.78922806442733
2015-06-19,101.57280586005035
2015-06-22,99.26767757855137
2015-06-23,98.3055146574915
2015-06-24,98.41933943783975
2015-06-25,98.24984742268862
2015-06-26,97.59134182183246
2015-06-29,98.90284411779423
2015-06-30,99.76667222777112
2015-07-01,98.91916332328287
2015-07-02,99.90281809304878
2015-07-03,100.29088892952328
2015-07-06,101.87705941039002
2015-07-07,104.55419383845165
2015-07-08,102.14398176486534
2015-07-09,98.9371891096426
2015-07-10,97.56413094693764
2015-07-13,97.47481106171855
2015-07-14,97.71803655068756
2015-07-15,97.93040069038807
2015-07-16,96.98420866889036
2015-07-17,96.96748528094248
2015-07-20,97.16329543303041
2015-07-21,97.51267687440499
2015-07-22,97.38385289144328
2015-07-23,97.34612819025831
2015-07-24,97.46953191302447
2015-07-27,99.84607566910064
2015-07-28,101.2478794447346
2015-07-29,101.84734547788673
2015-07-30,102.67786086214076
2015-07-31,102.67619870169811
2015-08-03,103.01405260760347
2015-08-04,103.10653657816293
2015-08-05,103.14852922364967
2015-08-06,102.59154588893287
2015-08-07,103.99148687721564
2015-08-10,104.07980173329466
2015-08-11,104.72364155657306
2015-08-12,108.31270241886816
2015-08-13,107.25942370279607
2015-08-14,108.93577226074484
2015-08-17,108.84152743985511
2015-08-18,108.91324790050741
2015-08-19,110.16432887677053
2015-08-20,110.36938629135899
2015-08-21,108.18528759168578
2015-08-24,109.4477121457052
2015-08-25,103.33241639022684
2015-08-26,110.30363054426972
2015-08-27,107.69968086784642
2015-08-28,107.2045686821054
2015-08-31,107.08680338755907
2015-09-01,105.98918235605922
2015-09-02,109.38958670757096
2015-09-03,107.57339273116794
2015-09-04,109.05911954320439
2015-09-07,108.89534361864435
2015-09-08,111.30254578812188
2015-09-09,108.16865633889965
2015-09-10,110.40612493364107
2015-09-11,111.87005090391101
2015-09-14,112.2341293785263
2015-09-15,112.70261096994244
2015-09-16,111.32958081318873
2015-09-17,110.55057296741978
2015-09-18,112.28108521419351
2015-09-21,112.8206045389839
2015-09-22,116.54484419597598
2015-09-23,117.92899647121449
2015-09-24,119.6996838419718
2015-09-25,117.7974606721747
2015-09-28,118.2445589841167
2015-09-29,117.60801169974457
2015-09-30,117.12002069754355
2015-10-01,117.14052418792717
2015-10-02,116.50012733172022
2015-10-05,115.17750904002958
2015-10-06,113.6281240666273
2015-10-07,113.77264179409133
2015-10-08,115.08983074979037
2015-10-09,114.21939269611183
2015-10-12,116.49300148195387
2015-10-13,116.34125134343122
2015-10-14,117.43449091068375
2015-10-15,117.63059741062932
2015-10-16,117.94646531853797
2015-10-19,118.62308586573496
2015-10-20,120.04685411499894
2015-10-21,120.1760541297353
2015-10-22,121.72407234422253
2015-10-23,123.44053867702853
2015-10-26,122.65064731755517
2015-10-27,125.37776759174082
2015-10-28,124.73227799049101
2015-10-29,125.1340830351727
2015-10-30,122.62780853396556
2015-11-02,121.85583440362164
2015-11-03,120.9883572388848
2015-11-04,121.63168550614624
2015-11-05,121.503539464954
2015-11-06,120.65398417110477
2015-11-09,120.56849985122783
2015-11-10,120.53732203272075
2015-11-11,119.44338005507356
2015-11-12,120.1068012138899
2015-11-13,118.08011610026223
2015-11-16,119.16196579068999
2015-11-17,117.10105982656088
2015-11-18,117.84993061743367
2015-11-19,117.93898228743652
2015-11-20,120.21913312596143
2015-11-23,120.25676004551875
2015-11-24,121.2109641965439
2015-11-25,120.81689485394524
2015-11-26,119.51121343801655
2015-11-27,119.90213319429147
2015-11-30,117.58229396674145
2015-12-01,118.64044488966798
2015-12-02,119.55078819101172
2015-12-03,119.8980405638058
2015-12-04,123.39026794128229
2015-12-07,123.80749485963443
2015-12-08,126.04913256190461
2015-12-09,123.22746593208097
2015-12-10,123.58783587951964
2015-12-11,124.57818379963321
2015-12-14,128.7844726353985
2015-12-15,126.15400751074165
2015-12-16,126.71188912275585
2015-12-17,123.28415527302182
2015-12-18,121.2220806169997
2015-12-21,125.05101134853578
2015-12-22,125.97380288412535
2015-12-23,123.29549166649359
2015-12-24,123.19847955661062
2015-12-25,123.19847955661062
2015-12-28,124.74228704393107
2015-12-29,125.15085946819646
2015-12-30,124.6675102714901
2015-12-31,123.18679527869618
2016-01-01,123.18679527869618
2016-01-04,123.79494511969551
2016-01-05,122.48516585833377
2016-01-06,123.36823601355866
2016-01-07,122.68814526779198
2016-01-08,122.93005095500438
2016-01-11,125.72293264523522
2016-01-12,126.24287307090022
2016-01-13,123.14053693865334
2016-01-14,126.43387929493572
2016-01-15,127.74660042483927
