Date,Value
2012-04-19,100.0
2012-04-20,99.8794874382302
2012-04-23,101.46969848939287
2012-04-24,100.87860287454478
2012-04-25,99.57762710245322
2012-04-26,100.358067212809
2012-04-27,100.48924372966474
2012-04-30,101.0111662208777
2012-05-01,101.0902812857678
2012-05-02,102.41385073916047
2012-05-03,103.28330033938165
2012-05-04,103.45796834013012
2012-05-07,102.75740266202524
2012-05-08,102.86040107624589
2012-05-09,103.11099183552935
2012-05-10,101.64451721457066
2012-05-11,101.79615042398548
2012-05-14,103.43455150893101
2012-05-15,105.07434550174997
2012-05-16,104.28305099364944
2012-05-17,105.40380204979593
2012-05-18,104.81981372913646
2012-05-21,104.7112537099104
2012-05-22,102.4203607296396
2012-05-23,104.10267958674731
2012-05-24,104.17551955398662
2012-05-25,105.3079598860686
2012-05-28,105.25890486439215
2012-05-29,105.39434539601753
2012-05-30,105.54957417976978
2012-05-31,105.60820551784043
2012-06-01,105.84036834852674
2012-06-04,106.11149673164192
2012-06-05,105.96012488285783
2012-06-06,104.89368437448323
2012-06-07,105.43530519335633
2012-06-08,106.81701766863
2012-06-11,107.46685363449599
2012-06-12,107.19064057562349
2012-06-13,107.68543158896651
2012-06-14,107.47281527013061
2012-06-15,103.03616034552026
2012-06-18,103.19336832815699
2012-06-19,103.05234030283002
2012-06-20,102.04301086050113
2012-06-21,103.3369052580702
2012-06-22,104.22789790322241
2012-06-25,105.48508623441433
2012-06-26,106.46113730723347
2012-06-27,106.2383128197733
2012-06-28,105.85358836253752
2012-06-29,103.14742218685112
2012-07-02,102.91725621191793
2012-07-03,102.8150426732701
2012-07-04,103.05629070011628
2012-07-05,102.92316626280412
2012-07-06,104.83050081957786
2012-07-09,104.13174195282602
2012-07-10,104.11719708453336
2012-07-11,104.05167978677791
2012-07-12,104.95018249814204
2012-07-13,104.56396056658743
2012-07-16,104.72049580383982
2012-07-17,105.66620572166025
2012-07-18,104.33030630547691
2012-07-19,103.15392274171592
2012-07-20,104.37786120817151
2012-07-23,106.55155362916054
2012-07-24,107.45799818091517
2012-07-25,108.88967650590976
2012-07-26,112.00989670134125
2012-07-27,111.150473855105
2012-07-30,109.9770854077012
2012-07-31,108.7745854755984
2012-08-01,108.73036718865315
2012-08-02,110.33155325278089
2012-08-03,110.34732034007698
2012-08-06,108.63280174884515
2012-08-07,108.70775182832996
2012-08-08,108.91060382930118
2012-08-09,108.87474129447726
2012-08-10,108.06129739301575
2012-08-13,108.48751060436784
2012-08-14,108.41932025890469
2012-08-15,108.84995122465548
2012-08-16,107.0967910927042
2012-08-17,104.5388132995523
2012-08-20,105.37111276359656
2012-08-21,105.21407016229698
2012-08-22,104.90744635637951
2012-08-23,104.99798851298944
2012-08-24,105.78021586498458
2012-08-27,104.3977610716885
2012-08-28,105.0028690630455
2012-08-29,105.67759994781831
2012-08-30,107.19135249448091
2012-08-31,106.49934362436838
2012-09-03,107.15219152798342
2012-09-04,107.36977450377181
2012-09-05,108.74836566666659
2012-09-06,106.6618359750036
2012-09-07,104.85373652046654
2012-09-10,105.76621154708936
2012-09-11,106.23034621959583
2012-09-12,103.67784725396169
2012-09-13,105.34647308050745
2012-09-14,103.70771721969311
2012-09-17,103.47785065690698
2012-09-18,105.31123067028538
2012-09-19,105.46564834762216
2012-09-20,106.92158131199214
2012-09-21,106.16714060010402
2012-09-24,106.59324899920374
2012-09-25,107.26949628733195
2012-09-26,108.75653108360186
2012-09-27,109.20879747524592
2012-09-28,109.93165979480588
2012-10-01,109.91382319659044
2012-10-02,108.6950563642583
2012-10-03,109.15023058606934
2012-10-04,109.36640487163167
2012-10-05,108.5767846474202
2012-10-08,109.8267350823882
2012-10-09,109.63598937850456
2012-10-10,109.70661295103058
2012-10-11,109.26813909728283
2012-10-12,109.80119793865043
2012-10-15,110.04558634472467
2012-10-16,110.58001288101104
2012-10-17,109.63862368241692
2012-10-18,109.12487189302314
2012-10-19,110.25270625389366
2012-10-22,110.6705280332027
2012-10-23,110.81559428168882
2012-10-24,111.74764816615067
2012-10-25,112.84925569155868
2012-10-26,113.85529822888428
2012-10-29,115.33511407595135
2012-10-30,116.15766787077825
2012-10-31,116.100511018013
2012-11-01,115.05797853361362
2012-11-02,116.71435835188946
2012-11-05,116.23038741492262
2012-11-06,116.45516178235663
2012-11-07,116.03150613914845
2012-11-08,117.19533048887375
2012-11-09,116.87002731243024
2012-11-12,116.0115836871483
2012-11-13,116.68328071859074
2012-11-14,117.58374528322346
2012-11-15,119.29591464591941
2012-11-16,121.74548626520956
2012-11-19,120.53266639515988
2012-11-20,121.75867213866213
2012-11-21,121.51085970461659
2012-11-22,121.26738896779595
2012-11-23,120.82436736623676
2012-11-26,120.96487746049112
2012-11-27,122.00986811230369
2012-11-28,122.62046510701516
2012-11-29,120.35516002010586
2012-11-30,121.15074054342438
2012-12-03,121.43046376713826
2012-12-04,122.00573250680316
2012-12-05,120.69210550335349
2012-12-06,120.46066663768676
2012-12-07,121.3102448192911
2012-12-10,120.18055368510899
