Date,Beta
2012-04-19,100.0
2012-04-20,100.37564230406954
2012-04-23,100.67574835796312
2012-04-24,100.51025871699706
2012-04-25,100.73021454807125
2012-04-26,100.30962685633234
2012-04-27,98.80025347981542
2012-04-30,99.0397397472415
2012-05-01,99.23741074020292
2012-05-02,99.79232371116281
2012-05-03,99.99431042181898
2012-05-04,100.42008651340194
2012-05-07,100.32339431446519
2012-05-08,100.49959789569085
2012-05-09,101.38391180038163
2012-05-10,101.13308541479509
2012-05-11,101.65402322773905
2012-05-14,102.03589515940158
2012-05-15,102.847106532962
2012-05-16,103.9013434278092
2012-05-17,104.06293243513409
2012-05-18,103.93517772310405
2012-05-21,103.8933243661294
2012-05-22,102.96916753239569
2012-05-23,103.5295976789725
2012-05-24,104.02874636278625
2012-05-25,104.05227316755496
2012-05-28,104.13641105500925
2012-05-29,103.73795645251509
2012-05-30,103.97179297102743
2012-05-31,104.45055170218785
2012-06-01,105.05831112544739
2012-06-04,105.31431239838474
2012-06-05,104.6751123525283
2012-06-06,104.47205515044462
2012-06-07,104.46307940143807
2012-06-08,104.98257507286488
2012-06-11,105.52132594137406
2012-06-12,105.3798482858251
2012-06-13,105.85999432619414
2012-06-14,106.5434101004618
2012-06-15,105.3448275426377
2012-06-18,105.6260392933653
2012-06-19,104.7651576768599
2012-06-20,103.81552103519144
2012-06-21,104.44725694610204
2012-06-22,103.2188070869319
2012-06-25,104.35295224521141
2012-06-26,104.57845893442867
2012-06-27,104.32698000476208
2012-06-28,104.90808626810731
2012-06-29,104.56606987960329
2012-07-02,104.36006926711003
2012-07-03,104.63207449941095
2012-07-04,104.25695853979052
2012-07-05,104.61342460795551
2012-07-06,105.17241344925496
2012-07-09,105.41383420041862
2012-07-10,105.5037219262118
2012-07-11,105.46810275578699
2012-07-12,105.2611937017601
2012-07-13,104.59912315771923
2012-07-16,104.3749166999423
2012-07-17,104.57648554516794
2012-07-18,103.94010364419971
2012-07-19,102.97914044962104
2012-07-20,104.18250341829973
2012-07-23,103.95620611596316
2012-07-24,103.86881952032584
2012-07-25,103.0079540037314
2012-07-26,102.4979898646627
2012-07-27,103.38235530034154
2012-07-30,103.90620541832422
2012-07-31,103.9052705770024
2012-08-01,104.92997115044149
2012-08-02,105.73830561970136
2012-08-03,104.30565022321305
2012-08-06,103.99660073006606
2012-08-07,103.37635040283627
2012-08-08,103.40804304699918
2012-08-09,103.25467355820876
2012-08-10,103.05958851933134
2012-08-13,102.97623783215538
2012-08-14,102.92590792462181
2012-08-15,103.30633863960406
2012-08-16,102.7574444135828
2012-08-17,102.3576983235897
2012-08-20,102.38004883123163
2012-08-21,102.2314256732951
2012-08-22,101.82958251571095
2012-08-23,101.77510710614811
2012-08-24,102.05807855584166
2012-08-27,102.05134250414243
2012-08-28,102.05711520623849
2012-08-29,101.90705899474119
2012-08-30,102.32497813687453
2012-08-31,101.69994671769642
2012-09-03,101.83072454479945
2012-09-04,101.7623739432521
2012-09-05,102.18811906791609
2012-09-06,101.6300010032609
2012-09-07,101.22870569790108
2012-09-10,101.13426659821577
2012-09-11,100.4890441556196
2012-09-12,99.92365210011407
2012-09-13,99.84155149426469
2012-09-14,99.1172642322396
2012-09-17,99.39143875703189
2012-09-18,100.2463335429496
2012-09-19,100.48297618733207
2012-09-20,100.96040731108623
2012-09-21,100.81684430777
2012-09-24,101.0884237531861
2012-09-25,101.45008509811804
2012-09-26,101.9088920872417
2012-09-27,101.06687694662418
2012-09-28,101.15089191333692
2012-10-01,100.70719912287603
2012-10-02,100.9097210387247
2012-10-03,101.13448904017656
2012-10-04,100.98896983871109
2012-10-05,100.73084639634467
2012-10-08,101.13230298870201
2012-10-09,101.0371517291582
2012-10-10,101.4256829073255
2012-10-11,101.26181043856398
2012-10-12,101.69672387377291
2012-10-15,101.4390080743627
2012-10-16,100.76692399362602
2012-10-17,100.31470577172244
2012-10-18,99.96231876920972
2012-10-19,100.33602186374665
2012-10-22,100.12593223809512
2012-10-23,100.08902949430143
2012-10-24,100.79385538781685
2012-10-25,100.62291242674156
2012-10-26,101.11080848117291
2012-10-29,101.21884652699359
2012-10-30,101.0436708800237
2012-10-31,100.56460626396593
2012-11-01,99.81142591231723
2012-11-02,100.03896006222666
2012-11-05,99.93514071422591
2012-11-06,99.89930037160268
2012-11-07,99.96311179283727
2012-11-08,100.43198930788851
2012-11-09,100.68438383286606
2012-11-12,100.71987057456298
2012-11-13,101.17496732577817
2012-11-14,101.45734982787172
2012-11-15,101.37887767989038
2012-11-16,101.97107948586998
2012-11-19,101.37069528927667
2012-11-20,101.45388794401204
2012-11-21,101.71503919308519
2012-11-22,101.83304408286516
2012-11-23,101.35638987581504
2012-11-26,101.41618195327241
2012-11-27,101.3918463125459
2012-11-28,100.87542565254323
2012-11-29,100.74634768339088
2012-11-30,100.83820482183495
2012-12-03,100.96957068246422
2012-12-04,101.06082372429765
2012-12-05,100.69272432378538
2012-12-06,101.28981624818509
2012-12-07,101.46099439741462
2012-12-10,101.68252936308585
2012-12-11,100.78386516818833
2012-12-12,100.96202763167773
2012-12-13,101.53031981041872
2012-12-14,100.92199551608319
2012-12-17,100.25038239899784
2012-12-18,99.78762450199892
2012-12-19,100.47792016799167
2012-12-20,100.23403341104408
2012-12-21,100.38775223456364
2012-12-24,100.36892881329806
2012-12-25,100.36892881329806
2012-12-26,100.26680942200433
2012-12-27,100.0180365745505
2012-12-28,100.14549787394425
2012-12-31,99.83482650835225
2013-01-01,99.83482650835225
2013-01-02,99.513877769487
2013-01-03,98.70194989134484
2013-01-04,98.66979552795827
2013-01-07,98.60704369314041
2013-01-08,98.71679967913533
2013-01-09,98.70336043538624
2013-01-10,98.49915943889103
2013-01-11,98.38411484877452
2013-01-14,98.55701740398358
2013-01-15,99.00288734514737
2013-01-16,99.01842812438039
2013-01-17,98.80244939190301
2013-01-18,99.0512492562931
2013-01-21,99.37444788425876
2013-01-22,99.97958337026128
2013-01-23,100.25353914732007
2013-01-24,100.58542505239808
2013-01-25,100.6312143903327
2013-01-28,100.59411527559263
2013-01-29,100.64726917678685
2013-01-30,100.98128032498883
2013-01-31,100.42621694463097
2013-02-01,100.15812864121565
2013-02-04,100.72958262457145
2013-02-05,100.95204644729537
2013-02-06,100.94930083563659
2013-02-07,101.33053921257202
2013-02-08,101.20188875294467
2013-02-11,100.72766954911968
2013-02-12,100.52438561515082
2013-02-13,100.47122991843437
2013-02-14,100.42207491521056
2013-02-15,101.04453814210912
2013-02-18,100.93446558828997
2013-02-19,101.5621487432338
2013-02-20,102.209884019068
2013-02-21,102.45020610531765
2013-02-22,102.52594864659201
2013-02-25,102.58706233755616
2013-02-26,102.81320522084566
2013-02-27,102.98558373794114
2013-02-28,103.5498472020891
2013-03-01,103.14189208491952
2013-03-04,103.27859716668405
2013-03-05,103.05690385900132
2013-03-06,103.19783814354405
2013-03-07,103.69732013709391
2013-03-08,103.42628033269595
2013-03-11,103.55644172440057
2013-03-12,104.20811457753156
2013-03-13,104.45046728419209
2013-03-14,103.42018804933632
2013-03-15,104.02996784336518
2013-03-18,104.31434793300335
2013-03-19,104.68930965077634
2013-03-20,104.31436107451471
2013-03-21,104.46569000480024
2013-03-22,103.53969768187771
2013-03-25,104.15632622029439
2013-03-26,103.87943345519098
2013-03-27,104.31778682698534
2013-03-28,104.82845972566561
2013-03-29,104.82845972566561
2013-04-01,105.17711945401751
2013-04-02,105.58586448125531
2013-04-03,106.23736155813616
2013-04-04,105.65994891901727
2013-04-05,104.81344774849289
2013-04-08,104.80625284264978
2013-04-09,103.96918565328994
2013-04-10,103.65624662077987
