Date,Risk Premia Size
2012-04-19,100.0
2012-04-20,99.92638981210406
2012-04-23,100.04729102628649
2012-04-24,100.20551226835818
2012-04-25,99.88077472138048
2012-04-26,99.70879308652393
2012-04-27,99.41254935625139
2012-04-30,99.53905373071005
2012-05-01,99.70612916522865
2012-05-02,99.2092586071192
2012-05-03,99.68574564217553
2012-05-04,99.81250306787476
2012-05-07,99.94525843571597
2012-05-08,99.86280877304033
2012-05-09,99.90291638981807
2012-05-10,99.68935752851633
2012-05-11,99.65729584353976
2012-05-14,99.85995799085588
2012-05-15,99.85483522372868
2012-05-16,100.08407659758137
2012-05-17,100.45418190330442
2012-05-18,100.70916195538685
2012-05-21,100.21820798133257
2012-05-22,100.38212677046603
2012-05-23,99.82257462352182
2012-05-24,100.01089062518938
2012-05-25,99.96069635105073
2012-05-28,99.90299537433474
2012-05-29,99.57683263723116
2012-05-30,99.82542421666794
2012-05-31,99.66743112365981
2012-06-01,100.21939036004406
2012-06-04,100.6060160286669
2012-06-05,100.13637420498371
2012-06-06,100.06458778710581
2012-06-07,100.44097087716801
2012-06-08,100.31490232177605
2012-06-11,101.0222995599353
2012-06-12,101.24056420388344
2012-06-13,101.80382013177524
2012-06-14,101.75344989567641
2012-06-15,101.5901598011359
2012-06-18,101.31433587569168
2012-06-19,101.2408009024335
2012-06-20,101.2092772559714
2012-06-21,101.36468004599462
2012-06-22,101.16669983899415
2012-06-25,101.29388370115925
2012-06-26,101.40225756679318
2012-06-27,101.31166288322622
2012-06-28,101.16159775941753
2012-06-29,101.05970680565966
2012-07-02,100.65298793171446
2012-07-03,100.37300857907897
2012-07-04,100.2655222113524
2012-07-05,99.97228912958222
2012-07-06,100.07077185982705
2012-07-09,100.1819057342642
2012-07-10,100.48306495655275
2012-07-11,100.89648203364138
2012-07-12,100.68145726301302
2012-07-13,100.69736137398752
2012-07-16,100.77167532402774
2012-07-17,100.9408281577686
2012-07-18,100.8351154277528
2012-07-19,101.32667968849803
2012-07-20,101.14439827705492
2012-07-23,101.53184712743787
2012-07-24,101.65926933042913
2012-07-25,101.54878854902087
2012-07-26,102.0254384415442
2012-07-27,102.13136325790555
2012-07-30,102.42549402258274
2012-07-31,102.50217933857596
2012-08-01,103.23039258882055
2012-08-02,102.95448233238551
2012-08-03,103.18096242251252
2012-08-06,102.87469145018086
2012-08-07,102.72615038107845
2012-08-08,102.68306534341946
2012-08-09,102.48907658406468
2012-08-10,102.4852051525899
2012-08-13,102.55565888462685
2012-08-14,102.72389633241828
2012-08-15,102.2924344654935
2012-08-16,102.24531424384871
2012-08-17,101.86927295424032
2012-08-20,102.05192841395514
2012-08-21,101.8603957783923
2012-08-22,101.86011594685714
2012-08-23,101.84321369855417
2012-08-24,102.00265914107918
2012-08-27,102.05898176908123
2012-08-28,101.8276855141287
2012-08-29,101.63168052878034
2012-08-30,101.71063531016675
2012-08-31,101.63432797732295
2012-09-03,101.66004531438716
2012-09-04,100.76791184988116
2012-09-05,100.85505743336614
2012-09-06,101.0606528084767
2012-09-07,100.96674000805616
2012-09-10,100.68039621945607
2012-09-11,100.78165484353187
2012-09-12,100.62145291048581
2012-09-13,100.78836434342195
2012-09-14,100.56199319337803
2012-09-17,100.87853209230082
2012-09-18,100.95721566315126
2012-09-19,101.02150250973327
2012-09-20,101.17715970588272
2012-09-21,101.03970366678872
2012-09-24,101.14183305830362
2012-09-25,101.47804064889463
2012-09-26,101.32616159192969
2012-09-27,101.18330860052428
2012-09-28,100.884623989385
2012-10-01,101.29369572848844
2012-10-02,101.23727794951465
2012-10-03,101.57390316270128
2012-10-04,101.37268843011043
2012-10-05,101.42040810743252
2012-10-08,101.35919548066683
2012-10-09,101.37955437663052
2012-10-10,101.3125165271793
2012-10-11,101.26679763047127
2012-10-12,101.43187795380611
2012-10-15,101.55503662978711
2012-10-16,101.79161398562803
2012-10-17,101.53104175636074
2012-10-18,101.6416448815653
2012-10-19,101.57072189876085
2012-10-22,101.57719254703564
2012-10-23,100.90201937865886
2012-10-24,100.9869621057431
2012-10-25,100.89392178240554
2012-10-26,101.02292284021733
2012-10-29,100.95827964621155
2012-10-30,101.23530405507447
2012-10-31,100.76959028561257
2012-11-01,100.45352652229701
2012-11-02,100.7499805543853
2012-11-05,100.47099432041217
2012-11-06,100.50952343878505
2012-11-07,100.33769058668398
2012-11-08,100.43996425097443
2012-11-09,100.53225667665315
2012-11-12,100.70678193243059
2012-11-13,100.9917836488307
2012-11-14,101.17696864723462
2012-11-15,101.39700553071135
2012-11-16,101.04217050535959
2012-11-19,101.22114493776084
2012-11-20,101.14104442705592
2012-11-21,101.06928948053076
2012-11-22,101.10188908329823
2012-11-23,101.25289415474138
2012-11-26,101.0375307098251
2012-11-27,100.86557159901898
2012-11-28,101.03802672772507
2012-11-29,100.87581669515733
2012-11-30,100.97694818077905
2012-12-03,100.89410716082419
2012-12-04,100.74515664181273
2012-12-05,100.90180332196982
2012-12-06,100.88648423566923
2012-12-07,100.95882815152204
2012-12-10,100.75152540693388
2012-12-11,100.69421190426293
2012-12-12,100.86644200771006
2012-12-13,100.91234260011261
2012-12-14,100.78410127356527
2012-12-17,100.75315653994231
2012-12-18,100.57030302501681
2012-12-19,100.27708342942024
2012-12-20,100.24285136627225
2012-12-21,100.15224379689847
2012-12-24,100.18707965834867
2012-12-25,100.19833989564641
2012-12-26,100.32307366076674
2012-12-27,100.29751226161798
2012-12-28,99.98391408595357
2012-12-31,99.73012875303546
2013-01-01,99.72162537365718
2013-01-02,99.63204337296816
2013-01-03,99.46197058843535
2013-01-04,99.35789427794754
2013-01-07,99.07049890392078
2013-01-08,99.05181408775594
2013-01-09,98.9655894091368
2013-01-10,99.29056657889684
2013-01-11,99.41816507535371
2013-01-14,99.38787168784269
2013-01-15,99.18922853448274
2013-01-16,99.21965833223203
2013-01-17,99.10614283996796
2013-01-18,99.00844716069065
2013-01-21,98.98157966366541
