Date,Recommendation
2012-04-19,100.0
2012-04-20,99.87369441341687
2012-04-23,100.11817509677394
2012-04-24,98.97425301337915
2012-04-25,99.04902227146628
2012-04-26,99.16995823700228
2012-04-27,99.41487335597395
2012-04-30,99.65317540098644
2012-05-01,99.49896449426961
2012-05-02,99.21751697207503
2012-05-03,98.72216339743704
2012-05-04,99.64642493425468
2012-05-07,99.40909078293241
2012-05-08,99.03558493418552
2012-05-09,98.82309420904383
2012-05-10,98.94862867141994
2012-05-11,98.74828148573108
2012-05-14,99.335665173352
2012-05-15,99.11889892769197
2012-05-16,99.1848225922183
2012-05-17,99.69717305147499
2012-05-18,100.08912920401698
2012-05-21,100.54195982531876
2012-05-22,99.35691494317939
2012-05-23,100.46176375492543
2012-05-24,99.53227895279984
2012-05-25,99.01390069841224
2012-05-28,99.37561476322655
2012-05-29,99.69957059258013
2012-05-30,99.85007547278892
2012-05-31,100.07781811673011
2012-06-01,99.89292017603624
2012-06-04,99.76897608567586
2012-06-05,99.8997463008226
2012-06-06,100.17850021324215
2012-06-07,100.30622681156558
2012-06-08,100.40273444168105
2012-06-11,100.10229035399018
2012-06-12,100.0971595325466
2012-06-13,98.89783202860487
2012-06-14,98.79102424166688
2012-06-15,99.01624951431177
2012-06-18,99.00750901571342
2012-06-19,98.89903312980908
2012-06-20,98.24853281947917
2012-06-21,97.74701367114875
2012-06-22,97.04080175673462
2012-06-25,97.28645676562866
2012-06-26,96.93873537852151
2012-06-27,96.37711174812755
2012-06-28,95.54647275622675
2012-06-29,95.29939082657012
2012-07-02,94.70601856852788
2012-07-03,94.83788406929352
2012-07-04,94.66781707207284
2012-07-05,95.07169890075482
2012-07-06,94.96428437145345
2012-07-09,94.45088385011695
2012-07-10,93.74693413257855
2012-07-11,93.54004259449465
2012-07-12,93.92596413626893
2012-07-13,94.04732766791687
2012-07-16,94.74437054812752
2012-07-17,94.78641799458828
2012-07-18,94.7280022659785
2012-07-19,94.98510544890667
2012-07-20,96.36222527209203
2012-07-23,96.61211880728109
2012-07-24,97.79660445985316
2012-07-25,97.17678342631466
2012-07-26,96.38969587879379
2012-07-27,96.488325255296
2012-07-30,96.07537591716331
2012-07-31,95.64736226073688
2012-08-01,95.86767654623662
2012-08-02,96.07347065275725
2012-08-03,95.57291573555283
2012-08-06,95.22355297413058
2012-08-07,95.04101940383634
2012-08-08,95.28157002144556
2012-08-09,95.58353777456726
2012-08-10,95.98528516878426
2012-08-13,95.64659567859952
2012-08-14,95.69097720216531
2012-08-15,95.7651144087892
2012-08-16,95.5565043495113
2012-08-17,95.61100628638667
2012-08-20,95.81297799003079
2012-08-21,95.96073930742446
2012-08-22,96.43838521114115
2012-08-23,96.25420835298127
2012-08-24,96.55698120095133
2012-08-27,96.55257320003635
2012-08-28,96.93296383286027
2012-08-29,97.06465574469105
2012-08-30,97.23460317235376
2012-08-31,97.33573888528223
2012-09-03,97.27722028316077
2012-09-04,97.62263113810275
2012-09-05,97.15652697885527
2012-09-06,97.26633384011794
2012-09-07,96.57976731141285
2012-09-10,95.41398031437554
2012-09-11,95.24112131957922
2012-09-12,94.99750254309335
2012-09-13,94.84037629563962
2012-09-14,94.91138830041585
2012-09-17,94.90860157526608
2012-09-18,95.6281282744388
2012-09-19,95.30085984250182
2012-09-20,95.73354725427694
2012-09-21,95.07545732511205
2012-09-24,94.8468727554236
2012-09-25,95.0489149086068
2012-09-26,95.45540192839063
2012-09-27,95.72614210126697
2012-09-28,95.81662530998403
2012-10-01,95.65728330112239
2012-10-02,95.66891734347249
2012-10-03,95.82182675243169
2012-10-04,96.00763657547655
2012-10-05,95.74664999759727
2012-10-08,96.38785878582436
2012-10-09,96.16684006267378
2012-10-10,96.14432357876255
2012-10-11,96.05758188356558
2012-10-12,96.17123451591875
2012-10-15,96.18302941420288
2012-10-16,96.07960964059787
2012-10-17,96.03675096157323
2012-10-18,96.25939826928587
2012-10-19,96.35763440397504
2012-10-22,96.13351346085982
2012-10-23,95.52533156578193
2012-10-24,95.1290323878482
2012-10-25,95.38539505469856
2012-10-26,95.32997969957614
2012-10-29,95.3010860179563
2012-10-30,94.69081561381118
2012-10-31,95.26631693410802
2012-11-01,95.18477042546601
2012-11-02,94.8419788788395
2012-11-05,95.50833930905364
2012-11-06,96.21765710824906
2012-11-07,96.00733001632526
2012-11-08,96.21669430956955
2012-11-09,96.58444020268942
2012-11-12,96.20237925658873
2012-11-13,96.46685631810446
2012-11-14,95.71267330026079
2012-11-15,95.63442706697734
2012-11-16,95.85288565477701
2012-11-19,95.91478629705676
2012-11-20,96.36761302558881
2012-11-21,96.05559325326074
2012-11-22,96.0418954996222
2012-11-23,96.59773532562392
2012-11-26,96.35036755082906
2012-11-27,96.72452736298887
2012-11-28,97.25877493121644
2012-11-29,96.84435171874158
2012-11-30,96.84242560672058
2012-12-03,96.55498686502976
2012-12-04,96.71879977544602
2012-12-05,96.34012008016614
2012-12-06,97.263330334354
2012-12-07,97.34796869839047
2012-12-10,97.39539491722951
2012-12-11,97.20788664313
2012-12-12,96.82801756421082
2012-12-13,96.94470791374826
2012-12-14,96.9006492527253
2012-12-17,96.84123820030038
2012-12-18,96.96705380900029
2012-12-19,96.36928457057941
2012-12-20,96.78936594056263
2012-12-21,96.31557158718925
2012-12-24,96.0133962615319
2012-12-25,96.0133962615319
2012-12-26,95.83720389407816
2012-12-27,95.86651148263526
2012-12-28,96.03898293878142
2012-12-31,96.21578026879428
2013-01-01,96.21578026879428
2013-01-02,96.45279824880161
2013-01-03,96.4835453069325
