Date,Momentum
2012-04-19,100.0
2012-04-20,100.3588317017412
2012-04-23,99.72109624903095
2012-04-24,101.2283326288318
2012-04-25,102.24075418348794
2012-04-26,101.90276310518436
2012-04-27,101.64740020024477
2012-04-30,101.23056036297227
2012-05-01,101.65198712418308
2012-05-02,100.0713018981389
2012-05-03,99.45764081360537
2012-05-04,99.04042650923586
2012-05-07,100.00930006912371
2012-05-08,98.45245931256204
2012-05-09,97.86098284216375
2012-05-10,98.31313359662435
2012-05-11,97.81361222739878
2012-05-14,97.2051567653366
2012-05-15,96.35252148505857
2012-05-16,96.93002385211702
2012-05-17,95.90360913547782
2012-05-18,96.011021023716
2012-05-21,95.73340380549863
2012-05-22,96.7192046911055
2012-05-23,95.69516503744818
2012-05-24,96.06985375613847
2012-05-25,95.58129237005024
2012-05-28,95.3335848456224
2012-05-29,94.97541334015698
2012-05-30,93.94525704121094
2012-05-31,94.00194050142376
2012-06-01,94.56157313829502
2012-06-04,95.22748282211835
2012-06-05,95.06785609184837
2012-06-06,95.74092841054006
2012-06-07,95.57862628768531
2012-06-08,94.70021838055385
2012-06-11,94.1160585744284
2012-06-12,93.41490196164267
2012-06-13,93.55825500286747
2012-06-14,93.49089422679121
2012-06-15,94.38505662895692
2012-06-18,93.15478101208417
2012-06-19,93.81628873565303
2012-06-20,94.45175117146822
2012-06-21,94.2394554440902
2012-06-22,93.29485869540737
2012-06-25,92.65734097307444
2012-06-26,91.9957412264163
2012-06-27,92.71273333039036
2012-06-28,93.5365735935019
2012-06-29,95.36388447177515
2012-07-02,95.82867207136177
2012-07-03,95.98761743590167
2012-07-04,95.90010637432877
2012-07-05,94.72631198275478
2012-07-06,94.11259078153958
2012-07-09,93.80154417400087
2012-07-10,94.03670990014756
2012-07-11,94.74124319964987
2012-07-12,94.95737833631271
2012-07-13,94.83681024975505
2012-07-16,94.71074369509098
2012-07-17,94.64483121766949
2012-07-18,94.55504593061416
2012-07-19,93.99296315340926
2012-07-20,93.19733943168802
2012-07-23,92.3817418004508
2012-07-24,91.2650779622902
2012-07-25,92.11949511907636
2012-07-26,93.13978163690412
2012-07-27,94.2392335313245
2012-07-30,94.92888055318714
2012-07-31,94.33133077430811
2012-08-01,95.16997506791122
2012-08-02,93.32172951302182
2012-08-03,94.91802412905409
2012-08-06,95.76263499128709
2012-08-07,95.27325848355268
2012-08-08,95.5445408391384
2012-08-09,95.63033221337439
2012-08-10,95.96221406511854
2012-08-13,95.60418407266954
2012-08-14,95.39565721851768
2012-08-15,95.29903141579322
2012-08-16,95.7934056100424
2012-08-17,96.87751374094557
2012-08-20,95.74542344636481
2012-08-21,96.89788083374681
2012-08-22,97.00012850770395
2012-08-23,96.93990498680786
2012-08-24,96.52325317459083
2012-08-27,96.78436136124714
2012-08-28,97.74649108077936
2012-08-29,97.0493845053649
2012-08-30,96.2547932802089
2012-08-31,96.63908615270569
2012-09-03,96.45988430224533
2012-09-04,96.68879907562587
2012-09-05,96.2144388980299
2012-09-06,97.73855749088625
2012-09-07,98.82362427720813
2012-09-10,98.69642923242634
2012-09-11,99.21682347934569
2012-09-12,99.90274930792413
2012-09-13,98.64614051672754
2012-09-14,99.65830065791785
2012-09-17,99.36383300951515
2012-09-18,98.63989730209089
2012-09-19,98.49109955752965
2012-09-20,97.52753612052146
2012-09-21,97.83533169030018
2012-09-24,97.36508154433932
2012-09-25,97.21547971670678
2012-09-26,95.83927201813741
2012-09-27,95.52890157341514
2012-09-28,95.40216662514645
2012-10-01,95.85487857283647
2012-10-02,96.02114350714123
2012-10-03,95.60792217146863
2012-10-04,95.4338991673534
2012-10-05,95.98283239087591
2012-10-08,95.657702497538
2012-10-09,96.13070825526229
2012-10-10,96.60290163249543
2012-10-11,97.43380422554178
2012-10-12,97.54163692939696
2012-10-15,97.58713550417795
2012-10-16,98.11677089430532
2012-10-17,99.902124568765
2012-10-18,99.45571569373553
2012-10-19,98.77720261659299
2012-10-22,98.51017744458896
2012-10-23,97.26667175696663
2012-10-24,97.24464319150005
2012-10-25,96.70837903099039
2012-10-26,96.22094606215208
2012-10-29,95.42577831990916
2012-10-30,95.90737492970095
2012-10-31,96.03350360134438
2012-11-01,96.29932622127662
2012-11-02,96.32857280767337
2012-11-05,96.07937937635288
2012-11-06,96.07086082463935
2012-11-07,96.16844843639173
2012-11-08,95.9923078495589
2012-11-09,96.07347184975607
2012-11-12,95.96852180852201
2012-11-13,96.45368262199884
2012-11-14,95.95474130292436
2012-11-15,96.43494801279104
2012-11-16,95.30435631419137
2012-11-19,96.28828836202236
2012-11-20,96.21898389395042
2012-11-21,96.23752393619098
2012-11-22,96.49008740380009
2012-11-23,96.30446731291671
2012-11-26,95.67993834436078
2012-11-27,95.57227231265607
2012-11-28,95.07985180863896
2012-11-29,96.03405024770088
2012-11-30,96.2403588199246
2012-12-03,95.84144770625946
2012-12-04,96.26652629528014
2012-12-05,96.72387827386811
2012-12-06,97.17109995220034
2012-12-07,96.9401975173307
2012-12-10,97.06822048049811
2012-12-11,96.88602174989884
2012-12-12,97.82083619109915
2012-12-13,98.89630383979028
2012-12-14,98.95031001688923
2012-12-17,99.36659906008177
2012-12-18,99.5027550184882
2012-12-19,99.94408380114999
2012-12-20,99.63512713868109
2012-12-21,99.28240525930339
2012-12-24,99.15681160022103
2012-12-25,99.15681160022103
2012-12-26,99.57680129642337
2012-12-27,99.8284113535085
2012-12-28,99.38702364597471
2012-12-31,99.07127844636369
2013-01-01,99.07127844636369
2013-01-02,99.48326975119171
2013-01-03,100.10857115135929
