Date,Quality
2012-04-19,100.0
2012-04-20,101.30079260747193
2012-04-23,103.57055099650051
2012-04-24,102.03344960671204
2012-04-25,101.3934523620434
2012-04-26,102.49322452200914
2012-04-27,100.92760055054987
2012-04-30,102.0743753754733
2012-05-01,101.50090141539893
2012-05-02,102.00302447070605
2012-05-03,101.75755279741483
2012-05-04,103.94996251005848
2012-05-07,102.92116010130144
2012-05-08,105.7458471712265
2012-05-09,105.68439673029995
2012-05-10,105.68342718147171
2012-05-11,105.61650220981288
2012-05-14,106.60790984562111
2012-05-15,107.39199072529
2012-05-16,107.24299704969894
2012-05-17,108.52887621379796
2012-05-18,108.85142278246863
2012-05-21,109.18556300763731
2012-05-22,107.93386995419573
2012-05-23,110.48918365726541
2012-05-24,109.31718113523748
2012-05-25,109.75671517416916
2012-05-28,110.51122769368125
2012-05-29,110.14353027546889
2012-05-30,111.72213872917426
2012-05-31,111.01517205517838
2012-06-01,111.84612462211977
2012-06-04,112.6129159613932
2012-06-05,113.1336185908088
2012-06-06,111.36354456207377
2012-06-07,111.28604168391136
2012-06-08,112.38031637604212
2012-06-11,112.79804915221857
2012-06-12,114.02250371314587
2012-06-13,114.5577942700257
2012-06-14,115.798855210185
2012-06-15,114.65105819532563
2012-06-18,114.72595168424365
2012-06-19,113.99772823455432
2012-06-20,112.81390203394105
2012-06-21,111.19856300649505
2012-06-22,113.91583131526332
2012-06-25,115.67540703715264
2012-06-26,117.36374798407591
2012-06-27,115.6415932042397
2012-06-28,114.80242241660872
2012-06-29,111.72926973035867
2012-07-02,109.92822779529739
2012-07-03,107.91539566020661
2012-07-04,107.60937597897127
2012-07-05,109.51621390956626
2012-07-06,110.94700445398496
2012-07-09,110.70767567357207
2012-07-10,109.62111135266419
2012-07-11,109.50614457665588
2012-07-12,108.97649243439204
2012-07-13,109.19382130977864
2012-07-16,108.63971890249127
2012-07-17,109.12681111194719
2012-07-18,108.17384710881238
2012-07-19,108.09834255922948
2012-07-20,108.70050817891727
2012-07-23,111.3627841594612
2012-07-24,111.76898029723417
2012-07-25,111.19284026582993
2012-07-26,108.0651708523838
2012-07-27,105.92473959779693
2012-07-30,105.41382668393555
2012-07-31,105.51223254228776
2012-08-01,103.43943217704688
2012-08-02,105.70516865336266
2012-08-03,103.63436830855294
2012-08-06,102.37021522534761
2012-08-07,101.51737636744915
2012-08-08,102.00817866239032
2012-08-09,102.15118701705136
2012-08-10,100.75993275161534
2012-08-13,101.31518936315038
2012-08-14,101.05691776138204
2012-08-15,100.79021170607453
2012-08-16,101.36848269862492
2012-08-17,100.49116681498536
2012-08-20,101.53839242758269
2012-08-21,100.33181314996938
2012-08-22,100.16795633819775
2012-08-23,100.35974627496904
2012-08-24,101.26121392902168
2012-08-27,101.05969974727226
2012-08-28,100.35440002602407
2012-08-29,100.62309222385386
2012-08-30,102.21873735521648
2012-08-31,101.97063492236981
2012-09-03,101.98004475979157
2012-09-04,102.60203853007496
2012-09-05,102.58048191985495
2012-09-06,101.27898495960946
2012-09-07,99.58182682580639
2012-09-10,99.067335731931
2012-09-11,98.52791132643519
2012-09-12,97.7228734374019
2012-09-13,99.41430036156198
2012-09-14,97.31080140610928
2012-09-17,98.03523629481906
2012-09-18,99.27176007960196
2012-09-19,99.43856397143986
2012-09-20,99.86205411432643
2012-09-21,99.76437717530048
2012-09-24,100.4905697649944
2012-09-25,101.38659344787003
2012-09-26,103.57656599271711
2012-09-27,103.63177423096847
2012-09-28,104.22219404660349
2012-10-01,103.88606263501863
2012-10-02,103.40418501386742
2012-10-03,103.43356594744242
2012-10-04,102.94393294815866
2012-10-05,102.94279285061798
2012-10-08,103.63321370891938
2012-10-09,103.05848386951001
2012-10-10,102.7706243317059
2012-10-11,101.27942575480942
2012-10-12,101.80836111973748
2012-10-15,102.14371302740503
2012-10-16,101.21438902599165
2012-10-17,100.10414033810125
2012-10-18,100.25343495227649
2012-10-19,99.85140998012844
2012-10-22,100.19411460501836
2012-10-23,100.36299178879258
2012-10-24,100.4105226259083
2012-10-25,99.82549546988585
2012-10-26,100.97320339973064
2012-10-29,102.05934736036389
2012-10-30,100.81161683604934
2012-10-31,100.8711287618537
2012-11-01,101.84086984778145
2012-11-02,101.47581400566305
2012-11-05,101.82503316901041
2012-11-06,100.38099776195847
2012-11-07,100.98614476136417
2012-11-08,100.9942338751965
2012-11-09,102.6119325286815
2012-11-12,102.39188111103826
2012-11-13,102.72903102780646
2012-11-14,103.62051324041322
2012-11-15,104.5349652514923
2012-11-16,106.16860039987763
2012-11-19,105.01835902384782
2012-11-20,104.6329493059447
2012-11-21,104.26364978896952
2012-11-22,103.70889809253164
2012-11-23,104.3847096949497
2012-11-26,106.2978669063477
2012-11-27,105.18453898241665
2012-11-28,106.17617757962584
2012-11-29,104.39024306554074
2012-11-30,104.07569223767263
2012-12-03,104.23830160713167
2012-12-04,103.7053100111717
2012-12-05,102.99669199618509
2012-12-06,102.38137587220912
2012-12-07,102.15687109480074
2012-12-10,102.4256776667398
2012-12-11,102.76527847537507
2012-12-12,101.49950547261204
2012-12-13,100.96095065376811
2012-12-14,100.74812253752046
2012-12-17,99.5038421815455
2012-12-18,99.21462419886089
2012-12-19,97.78853430599604
2012-12-20,98.26112955147181
2012-12-21,99.16639692567843
2012-12-24,99.28227602630092
2012-12-25,99.28227602630092
2012-12-26,98.7902361270021
2012-12-27,98.61428653206576
2012-12-28,98.39318951961174
2012-12-31,99.43385830012356
2013-01-01,99.43385830012356
2013-01-02,98.53824362892688
2013-01-03,98.27735980786034
